# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	adjRPscore	RPscore	Rank_by_RPscore
CHST4	chr16:71526250-71538590	0	0.0	0.0	235
CHST7	chrX:46573686-46598496	0	0.0	0.0	235
CHST6	chr16:75472051-75495441	0	0.0	0.0	235
ITGAX	chr16:31355133-31382997	0	0.0	0.0	235
BCL2A1	chr15:79960889-79971301	0	0.0	0.0	235
ITGAV	chr2:186600204-186680902	0	0.0	0.0	235
ITGAL	chr16:30472661-30523185	0	0.0	0.0	235
ITGAM	chr16:31259966-31332892	0	0.0	0.0	235
SNORA11D	chrX:52190621-52190748	0	0.0	0.0	235
ITGAD	chr16:31393311-31426505	0	0.0	0.0	235
ITGAE	chr17:3714624-3801243	0	0.0	0.0	235
TEMN3-AS1	chr4:181820004-181829973	0	0.0	0.0	235
LOC285804	chr6:170266668-170276762	0	0.0	0.0	235
IGF2R	chr6:159969098-160111502	0	0.0	0.0	235
SLC36A4	chr11:93144170-93197455	0	0.0	0.0	235
SLC36A3	chr5:151276364-151303773	0	0.0	0.0	235
CKS1B	chr1:154974641-154979249	0	0.0	-0.001	1631
SLC36A1	chr5:151447595-151492381	0	0.0	0.0	235
ARTN	chr1:43933319-43937240	0	0.0	-0.0	518
ART1	chr11:3645130-3664416	0	0.0	0.0	235
ART3	chr4:76011179-76112802	2	0.898	0.129	72
ART5	chr11:3638505-3642316	0	0.0	0.0	235
ART4	chr12:14839984-14843533	0	0.0	0.0	235
CRTAM	chr11:122838497-122872639	0	0.0	0.0	235
CADPS2	chr7:122318423-122886759	0	0.0	0.0	235
RLF	chr1:40161368-40240921	0	0.0	-0.389	4778
USP17L30	chr4:9334657-9336250	0	0.0	0.0	235
RNVU1-11	chr1:144551778-144551943	0	0.0	-0.016	2394
CRTAP	chr3:33113957-33147773	0	0.0	0.0	235
MDH1	chr2:63588608-63607196	0	0.0	-0.34	3744
HPYR1	chr8:132560497-132561479	0	0.0	0.0	235
CPEB4	chr5:173888327-173960991	0	0.0	0.0	235
CPEB1	chr15:82543200-82572066	0	0.0	0.0	235
CPEB3	chr10:92048639-92243279	9	1.735	0.187	57
CPEB2	chr4:15002673-15070153	0	0.0	0.0	235
SRBD1	chr2:45388679-45611294	0	0.0	0.0	235
ABAT	chr16:8720715-8784575	0	0.0	0.0	235
POU5F1B	chr8:127415611-127417196	0	0.0	0.0	235
LOC284865	chr22:20198728-20204918	0	0.0	0.0	235
PHOX2A	chr11:72239076-72244176	0	0.0	0.0	235
PHOX2B	chr4:41744081-41748970	0	0.0	0.0	235
UPK2	chr11:118956297-118958559	0	0.0	0.0	235
CFH	chr1:196651877-196747504	0	0.0	0.0	235
CFI	chr4:109740691-109802225	0	0.0	0.0	235
ANKFY1	chr17:4163817-4263847	0	0.0	0.0	235
CFB	chr6:31945943-31952084	0	0.0	-0.0	595
TPT1-AS1	chr13:45341344-45391483	0	0.0	0.0	235
CFP	chrX:47624212-47629970	0	0.0	0.0	235
RNU5B-1	chr15:65304676-65304793	0	0.0	-0.31	3297
REREP3	chr15:22258613-22282880	0	0.0	0.0	235
AAAS	chr12:53307455-53321628	0	0.0	-0.0	1147
SIDT1	chr3:113532370-113629575	0	0.0	0.0	235
SIDT2	chr11:117179222-117197445	2	0.032	0.005	149
PISRT1	chr3:139232991-139233522	0	0.0	0.0	235
SAGE1	chrX:135893633-135913061	0	0.0	0.0	235
UFD1	chr22:19449940-19479215	0	0.0	0.0	235
AAGAB	chr15:67200674-67254736	0	0.0	-0.385	4708
C4orf19	chr4:37453929-37593510	0	0.0	0.0	235
SLC7A6OS	chr16:68300614-68310965	0	0.0	-0.367	4296
C4orf17	chr4:99511003-99542303	0	0.0	0.0	235
NBEAP1	chr15:20669467-20756151	0	0.0	0.0	235
RFPL4AL1	chr19:55771804-55773179	0	0.0	0.0	235
ABCE1	chr4:145098003-145129524	0	0.0	-0.306	3234
TEN1-CDK3	chr17:75979216-76005999	0	0.0	0.0	235
ZNF197-AS1	chr3:44617127-44624797	0	0.0	0.0	235
GEMIN7-AS1	chr19:45085328-45090391	0	0.0	-0.0	1163
MKRN2OS	chr3:12539780-12545464	0	0.0	-0.0	990
MSL3P1	chr2:233865440-233868409	0	0.0	-0.0	346
ATP5IF1	chr1:28236090-28238105	0	0.0	0.0	235
NCBP2-AS1	chr3:196939876-196942534	0	0.0	-0.057	2555
NCBP2-AS2	chr3:196942622-196943545	0	0.0	-0.319	3413
CLK2P1	chr7:23584715-23586527	0	0.0	0.0	235
LOC105369266	chr16:33313920-33330341	0	0.0	0.0	235
LOC286297	chr9:65863791-65878507	0	0.0	0.0	235
TBC1D8-AS1	chr2:101151659-101155412	0	0.0	0.0	235
MCCD1	chr6_GL000256v2_alt:2828245-2829515	0	0.0	0.0	235
ZNF117	chr7:64974451-64991036	0	0.0	0.0	235
ZNF114	chr19:48270902-48287608	0	0.0	-0.0	303
ZNF112	chr19:44326552-44356704	0	0.0	0.0	235
SEZ6L	chr22:26169473-26383597	0	0.0	0.0	235
MIR6780B	chr6:43434541-43434620	0	0.0	-0.003	1998
MIR6780A	chr17:42708083-42708151	0	0.0	0.0	235
PRKAR2A	chr3:48746578-48847850	0	0.0	0.0	235
PRKAR2B	chr7:107044732-107161811	0	0.0	0.0	235
MAGT1	chrX:77826364-77895568	0	0.0	0.0	235
MIR6862-1	chr16:28390981-28391051	0	0.0	0.0	235
S1PR4	chr19:3178737-3180332	0	0.0	0.0	235
ITGA2B	chr17:44372180-44389601	0	0.0	0.0	235
AOX3P-AOX2P	chr2:200695722-200794915	0	0.0	0.0	235
PHACTR4	chr1:28438149-28500369	0	0.0	-0.316	3363
PHACTR1	chr6:12716655-13287843	0	0.0	0.0	235
NLGN3	chrX:71144830-71171201	0	0.0	0.0	235
PHACTR3	chr20:59604546-59847711	0	0.0	0.0	235
NLGN1	chr3:173395951-174294371	0	0.0	0.0	235
KRTAP2-3	chr17:41059240-41060092	0	0.0	0.0	235
KRTAP2-2	chr17:41054498-41055211	0	0.0	0.0	235
KRTAP2-1	chr17:41046540-41047316	0	0.0	0.0	235
KRTAP2-4	chr17:41065115-41065879	0	0.0	0.0	235
MIR4708	chr14:65335117-65335183	0	0.0	0.0	235
MIR4709	chr14:74480132-74480204	0	0.0	0.0	235
MIR4704	chr13:66218249-66218324	0	0.0	0.0	235
MIR4705	chr13:102045933-102046004	0	0.0	0.0	235
MIR4706	chr14:65044687-65044769	0	0.0	0.0	235
MIR4707	chr14:22956949-22957029	0	0.0	0.0	235
MIR4700	chr12:120723192-120723266	0	0.0	0.0	235
MIR4701	chr12:48771974-48772037	0	0.0	0.0	235
MIR4703	chr13:51552588-51552667	0	0.0	0.0	235
SBF1P1	chr8:55449196-55455321	0	0.0	0.0	235
LOC101928030	chr12:9371781-9381422	0	0.0	0.0	235
LOC101928034	chr1:153545741-153551769	0	0.0	0.0	235
LOC101928035	chr16:74192391-74215521	0	0.0	0.0	235
VMP1	chr17:59707464-59842255	0	0.0	-0.0	639
EPN2-AS1	chr17:19296595-19306261	0	0.0	0.0	235
NR1D1	chr17:40092783-40100725	0	0.0	0.0	235
NR1D2	chr3:23946120-23980618	0	0.0	0.0	235
PLPBP	chr8:37762582-37779768	0	0.0	-0.323	3477
LOC100132287	chr5:181323505-181328195	0	0.0	0.0	235
OGFR	chr20:62804799-62814000	0	0.0	0.0	235
FAM90A10P	chr8:7769583-7771313	0	0.0	0.0	235
PTCH2	chr1:44819843-44842944	0	0.0	0.0	235
PTCH1	chr9:95442979-95508549	0	0.0	0.0	235
AOAH-IT1	chr7:36597833-36600120	0	0.0	0.0	235
TIMM44	chr19:7926717-7943823	0	0.0	-0.357	4084
RAD9B	chr12:110502199-110532086	0	0.0	-0.374	4472
RAD9A	chr11:67391951-67398412	0	0.0	-0.001	1508
ERGIC2	chr12:29340645-29381210	0	0.0	-0.001	1799
ERGIC3	chr20:35542028-35557634	0	0.0	0.0	235
ERGIC1	chr5:172834219-172952685	0	0.0	0.0	235
MIR3165	chr11:72072227-72072302	0	0.0	0.0	235
MIR3164	chr11:69083175-69083258	0	0.0	0.0	235
MIR3167	chr11:126988457-126988542	0	0.0	0.0	235
MIR3166	chr11:88176501-88176593	0	0.0	0.0	235
MIR3161	chr11:48096781-48096858	0	0.0	0.0	235
MIR3163	chr11:66934433-66934506	0	0.0	0.0	235
MIR3162	chr11:59595076-59595158	0	0.0	0.0	235
B3GAT3	chr11:62615295-62622175	0	0.0	-0.293	3120
B3GAT2	chr6:70861365-70957085	0	0.0	0.0	235
B3GAT1	chr11:134378503-134411918	0	0.0	0.0	235
MIR3169	chr13:61199797-61199880	0	0.0	0.0	235
MIR3168	chr13:41101018-41101100	0	0.0	0.0	235
CALM2	chr2:47160081-47174207	0	0.0	-0.348	3890
TTC30A	chr2:177614297-177618966	0	0.0	0.0	235
SPG21	chr15:64963020-64989506	0	0.0	0.0	235
CALM1	chr14:90396501-90408275	0	0.0	-0.375	4491
GSDMA	chr17:39962972-39977766	0	0.0	0.0	235
GSDMB	chr17:39904594-39918650	0	0.0	0.0	235
GSDMC	chr8:129748195-129786888	0	0.0	0.0	235
GSDMD	chr8:143558306-143563061	0	0.0	-0.0	962
GSDME	chr7:24698354-24758020	0	0.0	0.0	235
UPK1B	chr3:119173577-119205153	0	0.0	0.0	235
DLGAP2	chr8:737604-1137777	0	0.0	0.0	235
DLGAP3	chr1:34865435-34929585	0	0.0	0.0	235
DLGAP1	chr18:3496031-3845358	0	0.0	0.0	235
DLGAP4	chr20:36306338-36528635	0	0.0	0.0	235
DLGAP5	chr14:55148115-55191678	0	0.0	0.0	235
MIR7973-1	chr15:51314033-51314109	0	0.0	0.0	235
MIR7973-2	chr15:51314031-51314107	0	0.0	0.0	235
FBXL14	chr12:1565992-1594165	0	0.0	0.0	235
OIP5	chr15:41309267-41332621	0	0.0	0.0	235
MIR502	chrX:50014597-50014683	0	0.0	0.0	235
FAM169A	chr5:74777573-74866838	0	0.0	0.0	235
INO80B-WBP1	chr2:74455022-74460891	0	0.0	-0.0	1339
LRRFIP1	chr2:237627580-237781647	0	0.0	0.0	235
PTPN18	chr2:130356006-130375409	0	0.0	-0.0	543
MIR505	chrX:139924147-139924231	0	0.0	0.0	235
PTPN13	chr4:86594314-86815175	0	0.0	0.0	235
PTPN12	chr7:77538034-77640071	0	0.0	0.0	235
PTPN11	chr12:112418897-112486923	0	0.0	-0.339	3715
PTPN14	chr1:214348695-214551681	0	0.0	0.0	235
LYAR	chr4:4267700-4290169	0	0.0	0.0	235
LOC145694	chr15:69396903-69415029	0	0.0	0.0	235
MIR548AG1	chr4:60922618-60922684	0	0.0	0.0	235
C2orf81	chr2:74414175-74421630	0	0.0	0.0	235
C2orf80	chr2:208165346-208190049	0	0.0	0.0	235
C2orf83	chr2:227610089-227633320	0	0.0	0.0	235
SNORA81	chr3:186786674-186786852	0	0.0	-0.038	2509
SNORA86	chr10:32901333-32901472	0	0.0	0.0	235
SNORA87	chr10:113045354-113045576	0	0.0	0.0	235
SNORA84	chr9:92292460-92292593	0	0.0	-0.16	2671
C2orf88	chr2:190150245-190203484	0	0.0	0.0	235
SNORA88	chr11:32143741-32143912	0	0.0	0.0	235
SNORA89	chr14:33708936-33709113	0	0.0	0.0	235
CDK1	chr10:60778453-60794852	0	0.0	0.0	235
MZB1	chr5:139387567-139389916	0	0.0	0.0	235
TRAPPC6B	chr14:39147810-39170430	0	0.0	0.0	235
HLA-DQB1	chr6:32659463-32666689	2	1.323	0.191	55
MSMB	chr10:46033304-46046269	0	0.0	0.0	235
HLA-DQB2	chr6_GL000250v2_alt:4062236-4069693	0	0.0	0.0	235
LOC100129027	chr21:45827840-45836419	0	0.0	0.0	235
ATP2B1-AS1	chr12:89708954-89711952	0	0.0	0.0	235
EIF4E1B	chr5:176630681-176646641	0	0.0	0.0	235
FOXS1	chr20:31844299-31845617	0	0.0	0.0	235
HAPLN4	chr19:19255640-19262787	0	0.0	0.0	235
LOC112267983	chr7:39947520-39949419	0	0.0	0.0	235
CAMKK2	chr12:121243587-121298308	0	0.0	0.0	235
CAMKK1	chr17:3865156-3893043	0	0.0	0.0	235
MYDGF	chr19:4657544-4670403	0	0.0	0.0	235
CHMP3	chr2:86503429-86563497	0	0.0	-0.297	3154
RPL36AL	chr14:49618688-49620685	0	0.0	-0.0	561
CHMP7	chr8:23243636-23262000	0	0.0	-0.382	4652
CHMP6	chr17:80991840-81000133	0	0.0	0.0	235
CHMP5	chr9:33264878-33282069	0	0.0	0.0	235
LOC100652758	chr5:151769792-151771508	0	0.0	-0.313	3327
OR52N5	chr11:5777633-5778667	0	0.0	0.0	235
OR52N2	chr11:5820335-5821301	0	0.0	0.0	235
OR52N1	chr11:5787853-5788816	0	0.0	0.0	235
LY6G6C	chr6_GL000256v2_alt:3017943-3021030	0	0.0	0.0	235
LY6G6D	chr6_GL000256v2_alt:3014651-3017100	0	0.0	0.0	235
LY6G6E	chr6:31711975-31714065	0	0.0	-0.0	1150
HOXA11	chr7:27181156-27185216	0	0.0	0.0	235
HOXA10	chr7:27170590-27180261	0	0.0	0.0	235
GALNTL5	chr7:151956378-152019934	0	0.0	0.0	235
GALNTL6	chr4:171813423-173040407	0	0.0	0.0	235
LINC02018	chr3:75435307-75454128	0	0.0	0.0	235
LINC02010	chr3:146921922-146925218	0	0.0	0.0	235
LINC02011	chr3:14799330-14811414	0	0.0	0.0	235
LINC02012	chr3:197505261-197509661	0	0.0	0.0	235
MIR1297	chr13:54311971-54312048	0	0.0	0.0	235
LINC02014	chr3:130088865-130094304	0	0.0	0.0	235
LINC02015	chr3:177816864-177899224	0	0.0	0.0	235
LINC02016	chr3:127322306-127390670	0	0.0	0.0	235
LINC02017	chr3:55178171-55189214	0	0.0	0.0	235
TDH	chr8:11339636-11368452	0	0.0	0.0	235
KRTAP11-1	chr21:30880644-30881555	0	0.0	0.0	235
TDG	chr12:103965803-103988878	0	0.0	-0.36	4132
SCAMP1-AS1	chr5:78358763-78360541	0	0.0	0.0	235
MICB-DT	chr6_GL000256v2_alt:2779168-2794074	0	0.0	0.0	235
ENTPD6	chr20:25195912-25228075	0	0.0	0.0	235
TBX2	chr17:61399895-61409466	0	0.0	0.0	235
LOXHD1	chr18:46476971-46556769	0	0.0	0.0	235
LRRC26	chr9:137168758-137170039	0	0.0	0.0	235
LRRC25	chr19:18391143-18397605	0	0.0	0.0	235
LRRC24	chr8:144522376-144527032	0	0.0	0.0	235
KIAA1522	chr1:32741910-32774970	0	0.0	0.0	235
MPDU1	chr17:7583646-7588209	0	0.0	-0.0	1257
LRRC20	chr10:70298969-70381914	0	0.0	0.0	235
LRRC29	chr16:67207138-67226818	0	0.0	0.0	235
LRRC28	chr15:99251361-99390732	0	0.0	-0.276	2989
GCNT4	chr5:75025346-75052558	0	0.0	0.0	235
GCNT7	chr20:56491491-56525925	0	0.0	0.0	235
GCNT1	chr9:76459151-76507416	0	0.0	0.0	235
GCNT3	chr15:59611782-59620011	0	0.0	0.0	235
GCNT2	chr6:10555715-10629368	0	0.0	0.0	235
MBD3L2B	chr19:7019159-7021431	0	0.0	0.0	235
LPCAT4	chr15:34358887-34367194	0	0.0	0.0	235
LPCAT2	chr16:55509000-55586670	0	0.0	0.0	235
LPCAT3	chr12:6976184-7018538	0	0.0	0.0	235
LPCAT1	chr5:1461422-1523977	0	0.0	0.0	235
TAGLN	chr11:117199293-117207465	0	0.0	0.0	235
CCDC178	chr18:32937401-33440081	0	0.0	0.0	235
CCDC179	chr11:22846922-22860426	0	0.0	0.0	235
ALPP	chr2:232378533-232382889	0	0.0	0.0	235
MIR513B	chrX:147199043-147199127	0	0.0	0.0	235
MIR513C	chrX:147189703-147189787	0	0.0	0.0	235
CCDC170	chr6:151494039-151621193	0	0.0	0.0	235
CCDC171	chr9:15553006-15974039	0	0.0	0.0	235
CCDC172	chr10:116324427-116380029	0	0.0	0.0	235
CCDC173	chr2:169645424-169694421	0	0.0	-0.335	3670
CCDC174	chr3:14651745-14672659	0	0.0	-0.387	4748
CCDC175	chr14:59505066-59576831	0	0.0	0.0	235
CCDC177	chr14:69569813-69574883	0	0.0	0.0	235
PDK1	chr2:172555372-172625623	0	0.0	0.0	235
PDK3	chrX:24465226-24550466	0	0.0	0.0	235
PDK2	chr17:50095274-50106371	0	0.0	0.0	235
EBP	chrX:48521775-48528716	0	0.0	0.0	235
PDK4	chr7:95583496-95596613	0	0.0	0.0	235
LNPEP	chr5:96935641-97029411	0	0.0	0.0	235
ALPI	chr2:232456111-232460745	0	0.0	0.0	235
SEC61A1	chr3:128052368-128071683	0	0.0	0.0	235
SEC61A2	chr10:12129640-12169958	0	0.0	0.0	235
ALPL	chr1:21509357-21578412	0	0.0	0.0	235
PECR	chr2:216038387-216081816	0	0.0	0.0	235
LOC110117498	chr1:46175485-46176495	0	0.0	0.0	235
MIR193A	chr17:31559995-31560083	0	0.0	-0.0	1344
MIR193B	chr16:14303966-14304049	0	0.0	0.0	235
LOC400627	chr17:80966238-80971213	0	0.0	0.0	235
LOC400622	chr17:77527000-77536598	0	0.0	0.0	235
LINC01091	chr4:123649990-123930781	0	0.0	0.0	235
LINC01090	chr2:188035595-188287691	0	0.0	0.0	235
LINC01093	chr4:184892999-184899461	0	0.0	0.0	235
LINC01095	chr4:146109454-146121913	0	0.0	0.0	235
LINC01094	chr4:78645993-78684501	0	0.0	0.0	235
LINC01097	chr4:13526318-13531417	0	0.0	0.0	235
LINC01096	chr4:13546075-13547824	0	0.0	0.0	235
LINC01099	chr4:177903383-177907936	0	0.0	0.0	235
LINC01098	chr4:177728756-177990750	0	0.0	0.0	235
CTAGE11P	chr13:75237752-75240381	0	0.0	0.0	235
D21S2088E	chr21:23361103-23384835	0	0.0	0.0	235
DDIT3	chr12:57516587-57520517	0	0.0	0.0	235
DDIT4	chr10:72273918-72276036	0	0.0	0.0	235
DOCK9-AS1	chr13:98832083-98834629	0	0.0	0.0	235
RIIAD1	chr1:151721521-151729606	4	2.656	0.383	33
GOLGA8T	chr15:30135050-30145567	0	0.0	0.0	235
OR5R1	chr11:56417257-56418232	0	0.0	0.0	235
GOLGA8Q	chr15:30552077-30562501	0	0.0	0.0	235
GOLGA8S	chr15:23354747-23368454	0	0.0	0.0	235
GOLGA8R	chr15:30400561-30414260	0	0.0	0.0	235
GOLGA8M	chr15_KI270905v1_alt:974483-988209	0	0.0	0.0	235
GOLGA8O	chr15:32441913-32455634	0	0.0	0.0	235
GOLGA8N	chr15:32593455-32607310	0	0.0	0.0	235
GOLGA8H	chr15:32389520-32403290	0	0.0	0.0	235
GOLGA8K	chr15:32389584-32403292	0	0.0	0.0	235
GOLGA8J	chr15:30082954-30096701	0	0.0	0.0	235
GOLGA8G	chr15:28378637-28392025	0	0.0	0.0	235
GOLGA8F	chr15_KI270905v1_alt:796164-808792	0	0.0	0.0	235
GOLGA8A	chr15:34379068-34389800	0	0.0	0.0	235
GOLGA8B	chr15:34525282-34583570	0	0.0	0.0	235
CT45A9	chrX:135846138-135854538	0	0.0	0.0	235
CT45A8	chrX:135863775-135871812	0	0.0	0.0	235
EPHB1	chr3:134795256-135260465	0	0.0	0.0	235
CT45A1	chrX:135713452-135723246	0	0.0	0.0	235
PTPMT1	chr11:47565429-47573461	0	0.0	-0.0	949
CT45A2	chrX:135863775-135871812	0	0.0	0.0	235
CT45A5	chrX:135828933-135837280	0	0.0	0.0	235
CT45A7	chrX:135829250-135837079	0	0.0	0.0	235
CT45A6	chrX:135829246-135837280	0	0.0	0.0	235
FTCDNL1	chr2:199760535-199851173	0	0.0	0.0	235
VMO1	chr17:4785284-4786434	0	0.0	-0.001	1533
OGFR-AS1	chr20:62800626-62805587	0	0.0	0.0	235
MIR639	chr19:14529542-14529640	0	0.0	-0.0	1239
MIR638	chr19:10718403-10718503	0	0.0	0.0	235
MIR635	chr17:68424450-68424548	0	0.0	0.0	235
MIR634	chr17:66787071-66787168	0	0.0	0.0	235
MIR637	chr19:3961413-3961512	0	0.0	0.0	235
MIR636	chr17:76736449-76736548	0	0.0	-0.167	2680
MIR631	chr15:75353610-75353685	0	0.0	-0.0	288
MIR630	chr15:72587216-72587313	0	0.0	0.0	235
MIR633	chr17:62944214-62944312	0	0.0	0.0	235
MIR632	chr17:32350108-32350202	0	0.0	-0.306	3232
LINC00320	chr21:20742589-20803108	0	0.0	0.0	235
NPC2	chr14:74479934-74493512	0	0.0	0.0	235
LINC00322	chr21:43322208-43332039	0	0.0	0.0	235
GATA3-AS1	chr10:8050475-8052495	0	0.0	0.0	235
LINC00324	chr17:8220629-8224043	0	0.0	-0.0	442
LINC00326	chr6:133088079-133106578	0	0.0	0.0	235
LINC00327	chr13:23469511-23487464	0	0.0	0.0	235
RAB3GAP2	chr1:220148267-220272501	0	0.0	0.0	235
BHLHA15	chr7:98212253-98212959	0	0.0	0.0	235
RAB3GAP1	chr2:135052264-135170709	0	0.0	0.0	235
C3orf52	chr3:112086334-112118197	0	0.0	0.0	235
C3orf56	chr3:127193130-127198184	0	0.0	0.0	235
DAG1	chr3:49470131-49535618	0	0.0	0.0	235
ETHE1	chr19:43506718-43527256	0	0.0	0.0	235
RER1	chr1:2391774-2405446	0	0.0	0.0	235
KDM1A	chr1:23019447-23083691	0	0.0	-0.386	4744
KDM1B	chr6:18155421-18223861	0	0.0	0.0	235
CIAO2A	chr15:64072558-64094008	0	0.0	0.0	235
CIAO2B	chr16:66932054-66934423	0	0.0	0.0	235
MRTFA-AS1	chr22:40521799-40526707	0	0.0	0.0	235
SLC36A2	chr5:151314977-151347590	0	0.0	0.0	235
OR1S1	chr11:58214744-58215722	0	0.0	0.0	235
OR1S2	chr11:58203203-58204181	0	0.0	0.0	235
MIR2355	chr2:207109986-207110073	0	0.0	0.0	235
HIST1H3H	chr6:27810063-27810536	1	0.025	0.004	152
FCER1G	chr1:161215296-161219248	0	0.0	-0.0	675
BTG4	chr11:111467530-111512354	0	0.0	0.0	235
BTG3	chr21:17593649-17612950	0	0.0	0.0	235
BTG2	chr1:203305535-203309601	0	0.0	0.0	235
BTG1	chr12:92140277-92145897	0	0.0	-0.0	1181
LOC102723345	chr13:29647692-29655475	0	0.0	0.0	235
SRD5A3	chr4:55346220-55373099	0	0.0	0.0	235
SRD5A2	chr2:31524585-31580971	0	0.0	0.0	235
SRD5A1	chr5:6633321-6669562	0	0.0	0.0	235
ARMT1	chr6:151452257-151470099	0	0.0	-0.412	4936
EIF1AX-AS1	chrX:20139967-20140444	0	0.0	0.0	235
GGA1	chr22:37608473-37633564	0	0.0	0.0	235
GGA3	chr17:75236591-75261661	0	0.0	-0.26	2900
GGA2	chr16:23463541-23510494	0	0.0	0.0	235
FHOD1	chr16:67229388-67247522	0	0.0	0.0	235
FHOD3	chr18:36297695-36780220	0	0.0	0.0	235
GJC2	chr1:228149713-228159826	0	0.0	0.0	235
GJC3	chr7:99923268-99929620	0	0.0	-0.0	1268
GJC1	chr17:44798447-44830811	0	0.0	0.0	235
PSMB9	chr6_GL000253v2_alt:4273513-4279205	0	0.0	0.0	235
PSMB8	chr6:32840716-32844935	9	3.782	0.544	16
STAMBPL1	chr10:88880186-88923502	0	0.0	0.0	235
PSMB6	chr17:4796143-4798503	0	0.0	-0.328	3544
PSMB5	chr14:23025850-23035220	0	0.0	-0.0	1032
C14orf119	chr14:23095473-23100456	0	0.0	0.0	235
PSMB3	chr17:38752712-38764231	0	0.0	0.0	235
PSMB2	chr1:35599540-35631537	0	0.0	-0.356	4050
PSMB1	chr6:170535115-170553329	0	0.0	-0.184	2699
LMBR1L	chr12:49097139-49110900	0	0.0	0.0	235
PNMA1	chr14:73711782-73714425	0	0.0	0.0	235
TDGF1	chr3:46574554-46582462	0	0.0	0.0	235
MEIS1-AS2	chr2:66439094-66440330	0	0.0	0.0	235
SNORD115-16	chr15:25199447-25199529	0	0.0	0.0	235
SNORD115-17	chr15:25204356-25204438	0	0.0	0.0	235
SNORD115-10	chr15:25247344-25247426	0	0.0	0.0	235
LTN1	chr21:28928143-28992877	0	0.0	-0.375	4508
C9orf147	chr9:112451802-112487187	0	0.0	0.0	235
TRIML2	chr4:188091271-188105587	0	0.0	0.0	235
LOC101928231	chr6:134429029-134478897	0	0.0	0.0	235
TRIML1	chr4:188139440-188147740	0	0.0	0.0	235
NACC2	chr9:136006536-136095285	0	0.0	0.0	235
VPS13D	chr1:12230038-12512046	0	0.0	0.0	235
NACC1	chr19:13118287-13141147	0	0.0	0.0	235
VPS13A	chr9:77177444-77383005	0	0.0	0.0	235
SH3KBP1	chrX:19533964-19887626	0	0.0	0.0	235
