GSM_ID,Factor,Biosource,GIGGLE_score
GSM486269,RELA,GM19193;Lymphoblastoid;Blood,244.34261228374558
ENCSR331ORD_1,CREB1,HepG2;Epithelium;Liver,237.8365330369177
GSM1010808,CREB1,HepG2;Epithelium;Liver,235.1737635532237
ENCSR251OVJ_2,SMAD5,GM12878;B Lymphocyte;Blood,232.03144785126395
ENCSR331ORD_2,CREB1,HepG2;Epithelium;Liver,231.0618211461376
GSM1538431,CREB1,LNCaP;Epithelium;Prostate,228.80281183842825
GSM803397,POU2F2,GM12891;Lymphoblastoid;Blood,228.52264784036058
GSM935505,IRF1,K562;Erythroblast;Bone Marrow,228.05000767413864
GSM1861929,CREB1,HepG2;Epithelium;Liver,226.51983279411027
GSM1427076,NFE2,Proerythroblast;Fetal Liver,224.77244232911156
GSM486302,RELA,GM10847;Lymphoblastoid;Blood,219.395884549222
GSM1057024,IRF1,Monocyte;Blood,219.26378413119247
GSM529981,POLR2A,MCF-7;Epithelium;Breast,216.6479450395536
GSM1538429,CREB1,LNCaP;Epithelium;Prostate,213.41026133512048
GSM2550245,POLR2A,Endothelial Cell,212.9013068475636
GSM1273052,EBNA3C,B Lymphocyte,210.9487100782891
GSM486289,RELA,GM15510;Lymphoblastoid;Blood,208.19361506448064
GSM807735,EP300,Cardiomyocyte;Heart,206.363228882244
ENCSR207PFI_2,ZBED1,GM12878;B Lymphocyte;Blood,205.57325027561424
GSM1277992,POLR2A,Raji;B Lymphocyte;Blood,204.40679877043118
GSM2190582,POLR2A,A375;Melanoma Cell,200.83868244097175
GSM1861932,CREB1,HepG2;Epithelium;Liver,198.27442758995136
ENCSR352BJL_1,ZNF318,K562;Erythroblast;Bone Marrow,198.06138389609154
GSM935529,RELA,GM15510;Lymphoblastoid;Blood,194.98264201908285
GSM894088,POLR2A,P493-6;B cell lymphoma,193.10563403516858
GSM1873046,CREB1,LNCaP;Epithelium;Prostate,191.4061229131149
GSM935277,TBP,GM12878;B Lymphocyte;Blood,190.32739222784812
GSM486298,RELA,GM10847;Lymphoblastoid;Blood,188.51137145480686
GSM935285,RELA,GM12892;Lymphoblastoid;Blood,188.2307712605153
GSM1873041,CREB1,LNCaP;Epithelium;Prostate,184.1420225037304
GSM1861933,CREB1,HepG2;Epithelium;Liver,182.48232878837683
GSM1873042,CREB1,LNCaP;Epithelium;Prostate,181.2621111013868
GSM935487,STAT1,K562;Erythroblast;Bone Marrow,179.5924943977052
GSM2190585,POLR2A,A375;Melanoma Cell,178.83790716716427
GSM2789808,FAM208A,K562;Leukemia,178.0930147885665
GSM486283,RELA,GM19099;Lymphoblastoid;Blood,178.05516130735924
GSM486274,RELA,GM18505;Lymphoblastoid;Blood,174.42539518143874
GSM2628092,REL,GM12878;Lymphoblastoid,171.79025275473032
ENCSR253OON_2,ATF1,HepG2;Epithelium;Liver,170.54551999575568
GSM748522,FAIRE,K562;Erythroblast;Bone Marrow,168.61266884997485
GSM935273,RELA,GM19099;Lymphoblastoid;Blood,168.35613411689076
GSM1022948,POLR2A,T Lymphocyte;Blood,168.0379009297041
GSM2278000,STAT3,MDA-MB-157;mDA,167.9238187400939
GSM935394,GTF2B,K562;Erythroblast;Bone Marrow,167.58061967519532
GSM486290,RELA,GM15510;Lymphoblastoid;Blood,167.0136392269077
GSM486318,RELA,GM12878;B Lymphocyte;Blood,166.990250955134
GSM486278,RELA,GM18505;Lymphoblastoid;Blood,166.9358608534841
GSM2789804,POLR2A,K562;Leukemia,166.63105176343137
GSM486281,RELA,GM19099;Lymphoblastoid;Blood,165.60392878221026
GSM2333818,POLR2A,Fibroblast,165.18068762425315
GSM2218637,POLR2A,TIME;Fibroblast,164.58956937714595
GSM803410,POLR2A,K562;Erythroblast;Bone Marrow,164.51342016477483
GSM320736,STAT1,HeLa-S3;Epithelium;Cervix,162.31802830457718
GSM486270,RELA,GM19193;Lymphoblastoid;Blood,162.2324716070086
GSM486299,RELA,GM10847;Lymphoblastoid;Blood,161.99899468816525
GSM486495,POLR2A,GM12878;B Lymphocyte;Blood,161.899726598351
GSM2364544,KMT2A,SEM;B Lymphocyte,161.02293722147172
GSM1180131,JARID2,iPSC,160.73014185088772
GSM486313,RELA,GM18526;Lymphoblastoid;Blood,160.05272959204194
GSM486293,RELA,GM12892;Lymphoblastoid;Blood,159.7000497208024
GSM486282,RELA,GM19099;Lymphoblastoid;Blood,159.60941867115537
GSM1278507,MAFB,Keratinocyte;Foreskin,157.6254285324066
GSM831016,POLR2A,K562;Erythroblast;Bone Marrow,157.25930822720775
GSM1370293,SPIB,OCI-Ly3;B Lymphocyte;Bone Marrow,156.6413990230916
GSM2356330,CD74,B Lymphocyte,155.6573892407482
GSM2789805,POLR2A,K562;Leukemia,155.59335217953418
GSM2628088,RELA,GM12878;Lymphoblastoid,152.3287989633532
GSM1861930,CREB1,HepG2;Epithelium;Liver,151.6156537928303
GSM385507,STAT1,HeLa-S3;Epithelium;Cervix,151.3457658011351
GSM1278001,POLR2A,Raji;B Lymphocyte;Blood,150.1942707883732
GSM1278000,POLR2A,Raji;B Lymphocyte;Blood,149.6536473303522
GSM1126513,H2AZ,CD14 cell,149.60281055327172
GSM1607384,DNMT3B,Stem cell;Foreskin,149.60002366383932
GSM1239462,HOXA6,LoVo;Colon,149.0148140093601
GSM1861931,CREB1,HepG2;Epithelium;Liver,148.94399280681054
GSM935360,STAT1,HeLa-S3;Epithelium;Cervix,148.9062291418117
GSM748554,POLR2A,K562;Erythroblast;Bone Marrow,148.15735490502976
GSM935136,CDK9,P493-6;B cell lymphoma,147.92479034415197
GSM935501,GTF2F1,K562;Erythroblast;Bone Marrow,147.31473924484942
GSM486277,RELA,GM18505;Lymphoblastoid;Blood,146.9633515053391
GSM935287,POLR2A,GM12891;Lymphoblastoid;Blood,145.7418901649363
GSM1227206,STAT3,OCI-Ly3;B Lymphocyte;Bone Marrow,145.72348737723908
GSM486311,RELA,GM18526;Lymphoblastoid;Blood,144.957007856286
GSM1405121,POLR2A,HeLa;Epithelium;Cervix,144.62457056101874
GSM1872298,XRN2,HEK293;Epithelium;Embryonic Kidney,144.26221995927315
GSM2443453,NIPBL,LCL;B Lymphocyte,144.03412867501163
GSM1872295,XRN2,HEK293;Epithelium;Embryonic Kidney,144.01229133994846
GSM1370291,IRF4,OCI-Ly3;B Lymphocyte;Bone Marrow,143.47254119006772
GSM2635252,POLR2A,K562;Erythroblast;Bone Marrow,142.6194081096618
GSM1861936,ATF1,HepG2;Epithelium;Liver,142.46947076059092
GSM938410,GTF2B,IMR90;Fibroblast;Lung,142.16324091007309
GSM935472,STAT1,K562;Erythroblast;Bone Marrow,141.26494288898917
GSM1010719,CREB1,A549;Epithelium;Lung,140.82698699598308
GSM325933,POLR2A,K562;Erythroblast;Bone Marrow,140.42545825640673
GSM935358,POLR2A,K562;Erythroblast;Bone Marrow,140.42545825640673
GSM1370287,IRF4,OCI-Ly3;B Lymphocyte;Bone Marrow,140.31297337348408
GSM935281,RELA,GM18526;Lymphoblastoid;Blood,140.20270336812044
ENCSR472VBD_1,POLR2A,Sigmoid Colon,139.60718637070028
GSM1861935,ATF1,HepG2;Epithelium;Liver,139.1932624527314
GSM1416813,POLR2A,LX2;Hepatic Stellate Cell,137.66845378538278
GSM2356335,CD74,B Lymphocyte,137.423399515253
GSM2579070,POLR2A,HEK293;Epithelium;Embryonic Kidney,137.38806153818834
GSM486513,POLR2A,AG18359;Lymphocyte,137.15119306596404
GSM501715,POLR2A,T Lymphocyte;Blood,137.00821616992172
GSM2356333,CD74,B Lymphocyte,136.91876381501572
GSM935603,POLR2A,HepG2;Epithelium;Liver,136.60900064360612
GSM2789809,FAM208A,K562;Leukemia,135.74588756804727
GSM486306,RELA,GM18951;Lymphoblastoid;Blood,135.61425119349892
ENCSR304IVU_1,POLR2A,Breast,135.46603446048996
ENCSR107EUS_1,POLR2A,Colon,135.3237150405511
ENCSR091GVJ_1,ATF1,K562;Erythroblast;Bone Marrow,135.1016787572842
GSM1037518,POLR2A,DL23;Epithelium;Colon,134.2257036770355
GSM486286,RELA,GM15510;Lymphoblastoid;Blood,133.69933250648785
GSM486324,RELA,GM12891;Lymphoblastoid;Blood,133.5017221451952
ENCSR031TFS_1,POLR2A,K562;Erythroblast;Bone Marrow,132.8124761939436
GSM468191,POLR2A,NB4;Promyelocytic cell;Blood,132.33375839558192
GSM935279,RELA,GM19193;Lymphoblastoid;Blood,131.8219850966143
GSM2188500,POLR2A,Osteoblast,131.48538453934884
GSM1154504,MECP2,IMR90;Fibroblast;Lung,131.10763744037575
GSM1192076,POLR2A,HEK293;Epithelium;Embryonic Kidney,130.60398180642613
GSM365929,POLR2A,MCF-7;Epithelium;Breast,130.09037137317205
GSM1010857,CREB1,ECC-1;Epithelium;Endometrium,129.71094204718344
GSM1234502,POLR2A,P493-6;B cell lymphoma,129.38295233481318
GSM1843414,POLR2A,C4-2;Prostate,128.89989775917215
GSM1531550,POLR2A,HEK293T;Epithelium;Embryonic Kidney,128.40470068663146
GSM935388,POLR2A,K562;Erythroblast;Bone Marrow,128.27083953802176
GSM2227446,AFF1,Leukemic cells;Bone Marrow,128.25180365921992
GSM2789803,POLR2A,K562;Leukemia,127.85342238626345
GSM935473,POLR2A,K562;Erythroblast;Bone Marrow,127.61026263173888
ENCSR894CGX_1,SUPT5H,K562;Erythroblast;Bone Marrow,127.5448986293892
GSM2521496,POLR2A,MOLT-4;T Lymphoblast,127.48884679053364
GSM2218631,POLR2A,TIME;Fibroblast,127.22281668493702
GSM1057012,STAT1,Monocyte;Blood,126.69254366227993
GSM486271,RELA,GM19193;Lymphoblastoid;Blood,126.56671931540613
GSM874633,POLR2A,A549;Epithelium;Lung,126.21893600793967
GSM2550189,POLR2A,Stem cell,125.94978207945559
GSM831010,KDM5B,K562;Erythroblast;Bone Marrow,125.71413366150365
GSM935470,STAT2,K562;Erythroblast;Bone Marrow,125.19518011324708
GSM385505,STAT1,HeLa-S3;Epithelium;Cervix,125.177405831701
GSM1010830,POLR2A,Endothelial Cell;Umbilical Vein,125.01225001541636
GSM1180150,EZH2,iPSC,124.22804434814043
GSM935557,STAT3,GM12878;B Lymphocyte;Blood,124.16352087004366
GSM1330729,POLR2A,MRC5;Fibroblast;Lung,124.13269053733161
GSM955978,HIF1A,Endothelial Cell;Umbilical Vein,124.13242561711031
GSM822275,POLR2A,K562;Erythroblast;Bone Marrow,123.95907520987473
GSM917814,SNAPC1,MCF-10A;Epithelium;Breast,123.68833905516969
GSM393947,KAT2B,T Lymphocyte;Blood,123.53663982370828
GSM486512,POLR2A,AG18359;Lymphocyte,123.22741202448795
GSM385504,STAT1,HeLa-S3;Epithelium;Cervix,123.18868330617788
ENCSR097EEA_1,POLR2A,gastroesophageal sphincter,122.92409941227504
ENCSR352BJL_2,ZNF318,K562;Erythroblast;Bone Marrow,122.8497291793914
GSM1690575,FOS,MV4-11;Macrophage;Blood,122.63245295605108
GSM754330,POLR2A,GM12878;B Lymphocyte;Blood,122.62719315570791
GSM748555,POLR2A,K562;Erythroblast;Bone Marrow,121.93474434559201
GSM486275,RELA,GM18505;Lymphoblastoid;Blood,121.6965295420587
GSM1820479,POLR2A,HEK293;Epithelium;Embryonic Kidney,121.10195263511366
GSM1661790,POLR2A,A375;Melanoma Cell,121.06796865755808
GSM2281662,POLR2A,TL-Om1;T Lymphocyte,120.03793224283704
GSM935527,RELA,GM10847;Lymphoblastoid;Blood,119.27890222030221
GSM1278002,POLR2A,Raji;B Lymphocyte;Blood,119.12078249604049
GSM1622637,POLR2A,VCaP;Epithelium;Prostate,118.62700336129356
GSM1532411,POLR2A,SH-SY5Y;Bone Marrow,118.60304579485913
GSM1872294,XRN2,HEK293;Epithelium;Embryonic Kidney,118.58405638008145
GSM1622636,POLR2A,VCaP;Epithelium;Prostate,118.51718269043484
GSM935426,POLR2A,HCT-116;Colon,118.396681567542
GSM1126511,H2AZ,CD14 cell,117.98466320892021
GSM1892294,POLR2A,Raji;B Lymphocyte;Blood,117.89442109864895
GSM2278001,STAT3,MDA-MB-157;mDA,117.73155274958357
GSM1846796,POLR2A,HeLa;Epithelium;Cervix,117.71023698995837
GSM935507,NFYB,GM12878;B Lymphocyte;Blood,117.35781185962051
GSM1622633,POLR2A,VCaP;Epithelium;Prostate,117.06462394649247
