# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
regulation of T cell mediated immunity(GO:0002709)	16990, 12, 67, 3	63.396	4.33973271885e-05	0.00652316074302	67
regulation of glycolytic process(GO:0006110)	16990, 22, 43, 1	17.96	0.0926078099706	0.527195789458	43
regulation of gluconeogenesis(GO:0006111)	16990, 132, 45, 2	5.721	0.081970654916	0.505788288084	45
negative regulation of regulated secretory pathway(GO:1903306)	16990, 0, 23, 0	0.0	1.0	1.0	23
positive regulation of regulated secretory pathway(GO:1903307)	16990, 124, 51, 2	5.373	0.0918313163813	0.526470359707	51
regulation of regulated secretory pathway(GO:1903305)	16990, 140, 161, 4	3.015	0.112059588676	0.549488673933	161
positive regulation of lipase activity(GO:0060193)	16990, 136, 69, 2	3.621	0.169900277261	0.661621082826	69
stress fiber assembly(GO:0043149)	16990, 0, 16, 0	0.0	1.0	1.0	16
skeletal system morphogenesis(GO:0048705)	16990, 146, 110, 4	4.232	0.0425617005212	0.400629705494	110
locomotory behavior(GO:0007626)	16990, 69, 185, 1	1.331	0.642574069903	1.0	185
grooming behavior(GO:0007625)	16990, 0, 14, 0	0.0	1.0	1.0	14
embryonic skeletal system development(GO:0048706)	16990, 0, 36, 0	0.0	1.0	1.0	36
circadian rhythm(GO:0007623)	16990, 22, 135, 1	5.721	0.278144166089	0.859263608793	135
lipid metabolic process(GO:0006629)	16990, 129, 1218, 10	1.081	0.793063930971	1.0	1218
response to amino acid(GO:0043200)	16990, 41, 110, 2	7.534	0.0709808673616	0.478176431385	110
cell-cell adhesion(GO:0098609)	16990, 134, 488, 2	0.52	0.95170300295	1.0	488
protein targeting to mitochondrion(GO:0006626)	16990, 0, 30, 0	0.0	1.0	1.0	30
oligodendrocyte differentiation(GO:0048709)	16990, 0, 27, 0	0.0	1.0	1.0	27
astrocyte differentiation(GO:0048708)	16990, 0, 16, 0	0.0	1.0	1.0	16
protein targeting to lysosome(GO:0006622)	16990, 112, 20, 1	7.585	0.124946315253	0.572373120347	20
protein targeting to vacuole(GO:0006623)	16990, 112, 33, 1	4.597	0.198692561644	0.713423243198	33
tube closure(GO:0060606)	16990, 72, 79, 1	2.987	0.325760675926	0.938268773177	79
deoxyribonucleotide biosynthetic process(GO:0009263)	16990, 0, 15, 0	0.0	1.0	1.0	15
deoxyribonucleotide metabolic process(GO:0009262)	16990, 0, 35, 0	0.0	1.0	1.0	35
branch elongation of an epithelium(GO:0060602)	16990, 0, 13, 0	0.0	1.0	1.0	13
transcription preinitiation complex assembly(GO:0070897)	16990, 0, 29, 0	0.0	1.0	1.0	29
cellular response to starvation(GO:0009267)	16990, 112, 150, 4	4.045	0.0479594574227	0.418666043926	150
response to temperature stimulus(GO:0009266)	16990, 112, 170, 5	4.462	0.0170328623116	0.291041096822	170
response to pH(GO:0009268)	16990, 0, 39, 0	0.0	1.0	1.0	39
response to antimetabolite(GO:0097329)	16990, 0, 12, 0	0.0	1.0	1.0	12
vasoconstriction(GO:0042310)	16990, 127, 30, 1	4.459	0.202545207409	0.721280895267	30
alpha-beta T cell differentiation involved in immune response(GO:0002293)	16990, 0, 18, 0	0.0	1.0	1.0	18
T cell differentiation involved in immune response(GO:0002292)	16990, 0, 22, 0	0.0	1.0	1.0	22
positive regulation of killing of cells of other organism(GO:0051712)	16990, 0, 12, 0	0.0	1.0	1.0	12
viral budding via host ESCRT complex(GO:0039702)	16990, 0, 21, 0	0.0	1.0	1.0	21
ectodermal placode formation(GO:0060788)	16990, 0, 11, 0	0.0	1.0	1.0	11
axonal transport(GO:0098930)	16990, 51, 53, 1	6.286	0.182686729889	0.685337280268	53
positive regulation of mesenchymal cell proliferation(GO:0002053)	16990, 0, 26, 0	0.0	1.0	1.0	26
positive regulation of neuroblast proliferation(GO:0002052)	16990, 105, 23, 1	7.035	0.134705836996	0.593890995371	23
dendrite morphogenesis(GO:0048813)	16990, 0, 40, 0	0.0	1.0	1.0	40
proteoglycan metabolic process(GO:0006029)	16990, 0, 58, 0	0.0	1.0	1.0	58
regulation of dendrite morphogenesis(GO:0048814)	16990, 95, 87, 2	4.111	0.15037960426	0.624633762082	87
positive regulation of stress fiber assembly(GO:0051496)	16990, 14, 51, 1	23.796	0.0737568590129	0.487797909616	51
regulation of lipase activity(GO:0060191)	16990, 136, 94, 2	2.658	0.264235494784	0.835067496656	94
glutathione catabolic process(GO:0006751)	16990, 0, 11, 0	0.0	1.0	1.0	11
inositol metabolic process(GO:0006020)	16990, 0, 12, 0	0.0	1.0	1.0	12
aminoglycan catabolic process(GO:0006026)	16990, 0, 66, 0	0.0	1.0	1.0	66
negative regulation of double-strand break repair via homologous recombination(GO:2000042)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of cell cycle arrest(GO:0071156)	16990, 0, 106, 0	0.0	1.0	1.0	106
positive regulation of actin nucleation(GO:0051127)	16990, 0, 16, 0	0.0	1.0	1.0	16
signal release from synapse(GO:0099643)	16990, 140, 69, 2	3.518	0.176147279435	0.670838015899	69
axo-dendritic protein transport(GO:0099640)	16990, 0, 13, 0	0.0	1.0	1.0	13
regulation of cyclin-dependent protein kinase activity(GO:1904029)	16990, 99, 100, 1	1.716	0.466922372879	1.0	100
RNA polymerase II preinitiation complex assembly(GO:0051123)	16990, 0, 13, 0	0.0	1.0	1.0	13
regulation of DNA damage checkpoint(GO:2000001)	16990, 0, 17, 0	0.0	1.0	1.0	17
neurotransmitter receptor localization to postsynaptic specialization membrane(GO:0099645)	16990, 0, 12, 0	0.0	1.0	1.0	12
negative regulation of fibroblast proliferation(GO:0048147)	16990, 0, 29, 0	0.0	1.0	1.0	29
dicarboxylic acid metabolic process(GO:0043648)	16990, 0, 104, 0	0.0	1.0	1.0	104
regulation of fibroblast proliferation(GO:0048145)	16990, 0, 83, 0	0.0	1.0	1.0	83
astrocyte activation(GO:0048143)	16990, 0, 12, 0	0.0	1.0	1.0	12
regulation of muscle organ development(GO:0048634)	16990, 123, 133, 2	2.077	0.36598799207	1.0	133
positive regulation of ATP biosynthetic process(GO:2001171)	16990, 22, 29, 1	26.63	0.0573834685923	0.44152141944	29
regulation of synapse maturation(GO:0090128)	16990, 0, 13, 0	0.0	1.0	1.0	13
inner ear receptor cell development(GO:0060119)	16990, 0, 12, 0	0.0	1.0	1.0	12
negative regulation of ERAD pathway(GO:1904293)	16990, 0, 13, 0	0.0	1.0	1.0	13
glial cell differentiation(GO:0010001)	16990, 0, 71, 0	0.0	1.0	1.0	71
macromolecule deacylation(GO:0098732)	16990, 0, 73, 0	0.0	1.0	1.0	73
response to purine-containing compound(GO:0014074)	16990, 22, 150, 2	10.297	0.0455478244806	0.411493540124	150
intracellular transport of virus(GO:0075733)	16990, 0, 14, 0	0.0	1.0	1.0	14
regulation of retinoic acid receptor signaling pathway(GO:0048385)	16990, 0, 16, 0	0.0	1.0	1.0	16
retinoic acid receptor signaling pathway(GO:0048384)	16990, 35, 16, 1	30.339	0.0377884805924	0.385090236545	16
response to organic cyclic compound(GO:0014070)	16990, 130, 736, 15	2.664	0.00310522341793	0.107611607234	736
regulation of cell fate commitment(GO:0010453)	16990, 0, 27, 0	0.0	1.0	1.0	27
phospholipid catabolic process(GO:0009395)	16990, 103, 33, 1	4.999	0.1856090922	0.688873251142	33
positive regulation of heat generation(GO:0031652)	16990, 0, 11, 0	0.0	1.0	1.0	11
negative regulation of neuron death(GO:1901215)	16990, 69, 196, 2	2.513	0.344771198761	0.971404040373	196
positive regulation of interferon-gamma biosynthetic process(GO:0045078)	16990, 0, 12, 0	0.0	1.0	1.0	12
nuclear-transcribed mRNA poly(A) tail shortening(GO:0000289)	16990, 0, 22, 0	0.0	1.0	1.0	22
regulation of macroautophagy(GO:0016241)	16990, 0, 162, 0	0.0	1.0	1.0	162
endodermal cell differentiation(GO:0035987)	16990, 0, 28, 0	0.0	1.0	1.0	28
regulation of interleukin-2 biosynthetic process(GO:0045076)	16990, 0, 19, 0	0.0	1.0	1.0	19
glycosphingolipid biosynthetic process(GO:0006688)	16990, 0, 24, 0	0.0	1.0	1.0	24
nuclear division(GO:0000280)	16990, 0, 57, 0	0.0	1.0	1.0	57
negative regulation of viral genome replication(GO:0045071)	16990, 128, 53, 2	5.009	0.101308536584	0.533728434797	53
regulation of interferon-gamma biosynthetic process(GO:0045072)	16990, 0, 16, 0	0.0	1.0	1.0	16
regulation of chemokine biosynthetic process(GO:0045073)	16990, 0, 13, 0	0.0	1.0	1.0	13
regulation of cellular amine metabolic process(GO:0033238)	16990, 150, 37, 1	3.061	0.279990640487	0.862751429047	37
amino acid import across plasma membrane(GO:0089718)	16990, 0, 14, 0	0.0	1.0	1.0	14
microtubule cytoskeleton organization involved in mitosis(GO:1902850)	16990, 0, 92, 0	0.0	1.0	1.0	92
regulation of chromosome separation(GO:1905818)	16990, 0, 62, 0	0.0	1.0	1.0	62
negative regulation of chromosome separation(GO:1905819)	16990, 0, 28, 0	0.0	1.0	1.0	28
positive regulation of cell population proliferation(GO:0008284)	16990, 134, 905, 12	1.681	0.216827381118	0.748163345177	905
muscle cell development(GO:0055001)	16990, 122, 92, 1	1.514	0.492371815211	1.0	92
ceramide transport(GO:0035627)	16990, 0, 12, 0	0.0	1.0	1.0	12
cardiac myofibril assembly(GO:0055003)	16990, 0, 22, 0	0.0	1.0	1.0	22
cardiac cell development(GO:0055006)	16990, 0, 41, 0	0.0	1.0	1.0	41
cardiac muscle cell differentiation(GO:0055007)	16990, 14, 26, 1	46.676	0.038365902605	0.385260942652	26
cardiac muscle tissue morphogenesis(GO:0055008)	16990, 0, 65, 0	0.0	1.0	1.0	65
barbed-end actin filament capping(GO:0051016)	16990, 0, 15, 0	0.0	1.0	1.0	15
cellular response to DNA damage stimulus(GO:0006974)	16990, 78, 732, 5	1.488	0.551604420974	1.0	732
regulation of hormone secretion(GO:0046883)	16990, 128, 265, 3	1.503	0.518170319149	1.0	265
response to osmotic stress(GO:0006970)	16990, 0, 73, 0	0.0	1.0	1.0	73
regulation of hormone biosynthetic process(GO:0046885)	16990, 22, 26, 1	29.703	0.0498563856492	0.424758592946	26
hyperosmotic response(GO:0006972)	16990, 0, 24, 0	0.0	1.0	1.0	24
positive regulation of hormone secretion(GO:0046887)	16990, 124, 129, 1	1.062	0.621197433492	1.0	129
negative regulation of hormone secretion(GO:0046888)	16990, 0, 65, 0	0.0	1.0	1.0	65
positive regulation of lipid biosynthetic process(GO:0046889)	16990, 45, 76, 2	9.936	0.0399376078991	0.391242146628	76
neuroblast proliferation(GO:0007405)	16990, 0, 17, 0	0.0	1.0	1.0	17
nucleoside diphosphate metabolic process(GO:0009132)	16990, 120, 78, 1	1.815	0.431608611664	1.0	78
response to oxidative stress(GO:0006979)	16990, 22, 343, 2	4.503	0.202629056791	0.721280895267	343
temperature homeostasis(GO:0001659)	16990, 103, 30, 2	10.997	0.0266055170845	0.338870571921	30
cellular response to lipoprotein particle stimulus(GO:0071402)	16990, 0, 25, 0	0.0	1.0	1.0	25
protein mono-ADP-ribosylation(GO:0140289)	16990, 0, 11, 0	0.0	1.0	1.0	11
cell adhesion mediated by integrin(GO:0033627)	16990, 0, 22, 0	0.0	1.0	1.0	22
pyrimidine-containing compound salvage(GO:0008655)	16990, 0, 12, 0	0.0	1.0	1.0	12
primary amino compound metabolic process(GO:1901160)	16990, 0, 13, 0	0.0	1.0	1.0	13
negative regulation of lipid transport(GO:0032369)	16990, 0, 26, 0	0.0	1.0	1.0	26
activation of GTPase activity(GO:0090630)	16990, 96, 94, 1	1.883	0.438077172811	1.0	94
histone H4-K8 acetylation(GO:0043982)	16990, 0, 16, 0	0.0	1.0	1.0	16
postsynaptic specialization organization(GO:0099084)	16990, 0, 13, 0	0.0	1.0	1.0	13
positive regulation of protein sumoylation(GO:0033235)	16990, 0, 11, 0	0.0	1.0	1.0	11
regulation of dendritic spine maintenance(GO:1902950)	16990, 0, 11, 0	0.0	1.0	1.0	11
integrin-mediated signaling pathway(GO:0007229)	16990, 0, 89, 0	0.0	1.0	1.0	89
receptor-mediated endocytosis(GO:0006898)	16990, 127, 212, 2	1.262	0.610182021222	1.0	212
regulation of corticosteroid hormone secretion(GO:2000846)	16990, 0, 16, 0	0.0	1.0	1.0	16
myelin assembly(GO:0032288)	16990, 0, 12, 0	0.0	1.0	1.0	12
attachment of spindle microtubules to kinetochore(GO:0008608)	16990, 0, 20, 0	0.0	1.0	1.0	20
regulation of cell-cell adhesion(GO:0022407)	16990, 134, 385, 6	1.976	0.231681344097	0.778203397419	385
molting cycle process(GO:0022404)	16990, 0, 72, 0	0.0	1.0	1.0	72
positive regulation of NIK/NF-kappaB signaling(GO:1901224)	16990, 0, 74, 0	0.0	1.0	1.0	74
negative regulation of NIK/NF-kappaB signaling(GO:1901223)	16990, 0, 21, 0	0.0	1.0	1.0	21
regulation of NIK/NF-kappaB signaling(GO:1901222)	16990, 0, 105, 0	0.0	1.0	1.0	105
regulation of rhodopsin mediated signaling pathway(GO:0022400)	16990, 148, 24, 1	4.783	0.189538980934	0.699143020163	24
regulation of dopamine secretion(GO:0014059)	16990, 69, 40, 1	6.156	0.164985511219	0.655851495011	40
myoblast differentiation(GO:0045445)	16990, 0, 21, 0	0.0	1.0	1.0	21
fat cell differentiation(GO:0045444)	16990, 22, 105, 2	14.71	0.0241336386236	0.331288363593	105
endothelial cell differentiation(GO:0045446)	16990, 15, 27, 1	41.951	0.0424809704957	0.400629705494	27
asymmetric cell division(GO:0008356)	16990, 0, 13, 0	0.0	1.0	1.0	13
regulation of cell division(GO:0051302)	16990, 105, 164, 1	0.987	0.669505510494	1.0	164
negative regulation of cell-cell adhesion(GO:0022408)	16990, 130, 166, 2	1.575	0.493449177555	1.0	166
neuron projection extension(GO:1990138)	16990, 0, 59, 0	0.0	1.0	1.0	59
negative regulation of small molecule metabolic process(GO:0062014)	16990, 22, 94, 1	8.216	0.192665206893	0.704729768179	94
response to estradiol(GO:0032355)	16990, 99, 127, 3	4.054	0.0954808071338	0.527195789458	127
response to follicle-stimulating hormone(GO:0032354)	16990, 22, 16, 1	48.267	0.0271000962914	0.338870571921	16
positive regulation of hormone metabolic process(GO:0032352)	16990, 22, 15, 1	51.485	0.0250441978926	0.331288363593	15
DNA replication-independent nucleosome organization(GO:0034724)	16990, 0, 41, 0	0.0	1.0	1.0	41
regulation of hormone metabolic process(GO:0032350)	16990, 22, 38, 1	20.323	0.0815878434364	0.505788288084	38
regulation of cysteine-type endopeptidase activity(GO:2000116)	16990, 7, 227, 3	32.077	0.000385590307256	0.0337216250528	227
negative regulation of cysteine-type endopeptidase activity(GO:2000117)	16990, 5, 89, 1	38.18	0.0623302529232	0.463339158114	89
DNA repair(GO:0006281)	16990, 40, 472, 2	1.8	0.57126836123	1.0	472
negative regulation of interleukin-6 production(GO:0032715)	16990, 132, 41, 1	3.139	0.274907594887	0.855861185376	41
phosphatidylglycerol acyl-chain remodeling(GO:0036148)	16990, 145, 18, 2	13.019	0.0183735453407	0.291041096822	18
phosphatidylinositol acyl-chain remodeling(GO:0036149)	16990, 80, 17, 1	12.493	0.0794090089541	0.499670121267	17
leukocyte proliferation(GO:0070661)	16990, 134, 88, 1	1.441	0.505116138542	1.0	88
regulation of translational fidelity(GO:0006450)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of leukocyte proliferation(GO:0070663)	16990, 134, 215, 4	2.359	0.210888510035	0.737190213132	215
positive regulation of leukocyte proliferation(GO:0070665)	16990, 134, 135, 2	1.878	0.40708202747	1.0	135
negative regulation of leukocyte proliferation(GO:0070664)	16990, 130, 78, 2	3.351	0.190362040343	0.700031662116	78
