# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Epithelial cell signaling in Helicobacter pylori infection(hsa05120)	7753, 79, 68, 1	1.443	0.507418934508	1.0	68
Porphyrin and chlorophyll metabolism(hsa00860)	7753, 0, 42, 0	0.0	1.0	1.0	42
Gap junction(hsa04540)	7753, 47, 88, 1	1.875	0.476791037068	1.0	88
ABC transporters(hsa02010)	7753, 55, 45, 3	9.398	0.0079258664727	0.0834857935124	45
Systemic lupus erythematosus(hsa05322)	7753, 85, 131, 19	13.229	8.25300562489e-16	2.60794977747e-13	131
Rheumatoid arthritis(hsa05323)	7753, 53, 89, 7	11.505	1.02401040857e-05	0.000294170262826	89
Autoimmune thyroid disease(hsa05320)	7753, 50, 51, 7	21.283	1.16987289496e-07	5.28114049727e-06	51
Inflammatory bowel disease (IBD)(hsa05321)	7753, 35, 64, 4	13.845	0.000558145890399	0.00839876673172	64
Toll-like receptor signaling pathway(hsa04620)	7753, 79, 104, 6	5.662	0.00237016055633	0.0290743597678	104
NOD-like receptor signaling pathway(hsa04621)	7753, 10, 178, 5	21.778	8.7756875257e-06	0.000277311725812	178
RIG-I-like receptor signaling pathway(hsa04622)	7753, 58, 70, 1	1.91	0.436332909921	1.0	70
Cytosolic DNA-sensing pathway(hsa04623)	7753, 9, 63, 2	27.347	0.00587368547168	0.0640029175534	63
DNA replication(hsa03030)	7753, 0, 36, 0	0.0	1.0	1.0	36
Autophagy - other(hsa04136)	7753, 59, 32, 1	4.106	0.224817094566	0.947945164836	32
Mitophagy - animal(hsa04137)	7753, 59, 64, 1	2.053	0.409837138554	1.0	64
SNARE interactions in vesicular transport(hsa04130)	7753, 89, 34, 2	5.124	0.096817924941	0.695328733667	34
Taurine and hypotaurine metabolism(hsa00430)	7753, 0, 11, 0	0.0	1.0	1.0	11
Nucleotide excision repair(hsa03420)	7753, 0, 47, 0	0.0	1.0	1.0	47
Glycosaminoglycan biosynthesis - heparan sulfate / heparin(hsa00534)	7753, 0, 24, 0	0.0	1.0	1.0	24
Glycosaminoglycan degradation(hsa00531)	7753, 0, 19, 0	0.0	1.0	1.0	19
Long-term depression(hsa04730)	7753, 0, 60, 0	0.0	1.0	1.0	60
Glycosaminoglycan biosynthesis - keratan sulfate(hsa00533)	7753, 67, 14, 1	8.265	0.115513392825	0.701158813833	14
Salivary secretion(hsa04970)	7753, 47, 90, 1	1.833	0.485477907254	1.0	90
Gastric acid secretion(hsa04971)	7753, 47, 75, 1	2.199	0.417660409145	1.0	75
Pancreatic secretion(hsa04972)	7753, 90, 97, 2	1.776	0.430322013938	1.0	97
Carbohydrate digestion and absorption(hsa04973)	7753, 0, 44, 0	0.0	1.0	1.0	44
Protein digestion and absorption(hsa04974)	7753, 90, 89, 1	0.968	0.648826413032	1.0	89
Fat digestion and absorption(hsa04975)	7753, 51, 41, 1	3.708	0.254926687089	0.947945164836	41
Bile secretion(hsa04976)	7753, 47, 72, 1	2.291	0.403361360186	1.0	72
Vitamin digestion and absorption(hsa04977)	7753, 0, 24, 0	0.0	1.0	1.0	24
Mineral absorption(hsa04978)	7753, 0, 51, 0	0.0	1.0	1.0	51
Cholesterol metabolism(hsa04979)	7753, 65, 50, 1	2.386	0.354989026555	1.0	50
Proximal tubule bicarbonate reclamation(hsa04964)	7753, 0, 23, 0	0.0	1.0	1.0	23
Pentose phosphate pathway(hsa00030)	7753, 0, 30, 0	0.0	1.0	1.0	30
Phospholipase D signaling pathway(hsa04072)	7753, 0, 147, 0	0.0	1.0	1.0	147
Staphylococcus aureus infection(hsa05150)	7753, 38, 66, 5	15.457	5.85091388235e-05	0.00115555549176	66
Purine metabolism(hsa00230)	7753, 94, 130, 1	0.634	0.79794618489	1.0	130
Ubiquinone and other terpenoid-quinone biosynthesis(hsa00130)	7753, 44, 11, 1	16.019	0.0628578307736	0.500619157573	11
Hedgehog signaling pathway(hsa04340)	7753, 47, 47, 1	3.51	0.275032887667	0.947945164836	47
C-type lectin receptor signaling pathway(hsa04625)	7753, 9, 104, 1	8.283	0.226221657055	0.947945164836	104
Alzheimer disease(hsa05010)	7753, 0, 165, 0	0.0	1.0	1.0	165
Parkinson disease(hsa05012)	7753, 47, 129, 1	1.279	0.633477776997	1.0	129
Drug metabolism - cytochrome P450(hsa00982)	7753, 95, 70, 1	1.166	0.579755423263	1.0	70
Salmonella infection(hsa05132)	7753, 9, 85, 1	10.135	0.186795532198	0.901002215511	85
Shigellosis(hsa05131)	7753, 0, 65, 0	0.0	1.0	1.0	65
Glyoxylate and dicarboxylate metabolism(hsa00630)	7753, 0, 30, 0	0.0	1.0	1.0	30
Fc gamma R-mediated phagocytosis(hsa04666)	7753, 0, 90, 0	0.0	1.0	1.0	90
Legionellosis(hsa05134)	7753, 66, 55, 3	6.407	0.0258564967688	0.235606825638	55
Base excision repair(hsa03410)	7753, 0, 33, 0	0.0	1.0	1.0	33
Aminoacyl-tRNA biosynthesis(hsa00970)	7753, 0, 44, 0	0.0	1.0	1.0	44
Allograft rejection(hsa05330)	7753, 35, 36, 6	36.919	3.66598297634e-08	3.86150206841e-06	36
JAK-STAT signaling pathway(hsa04630)	7753, 87, 162, 1	0.55	0.844173128382	1.0	162
Synaptic vesicle cycle(hsa04721)	7753, 89, 78, 1	1.117	0.596103925785	1.0	78
Long-term potentiation(hsa04720)	7753, 47, 67, 1	2.462	0.378991503452	1.0	67
Valine, leucine and isoleucine degradation(hsa00280)	7753, 0, 48, 0	0.0	1.0	1.0	48
RNA polymerase(hsa03020)	7753, 0, 31, 0	0.0	1.0	1.0	31
Cholinergic synapse(hsa04725)	7753, 47, 112, 1	1.473	0.573879818215	1.0	112
Glutamatergic synapse(hsa04724)	7753, 47, 114, 1	1.447	0.5812765759	1.0	114
GABAergic synapse(hsa04727)	7753, 59, 89, 2	2.953	0.244952393716	0.947945164836	89
Serotonergic synapse(hsa04726)	7753, 95, 113, 2	1.444	0.533428876492	1.0	113
Dopaminergic synapse(hsa04728)	7753, 95, 131, 2	1.246	0.609291523893	1.0	131
Amino sugar and nucleotide sugar metabolism(hsa00520)	7753, 0, 47, 0	0.0	1.0	1.0	47
Vasopressin-regulated water reabsorption(hsa04962)	7753, 76, 44, 2	4.637	0.114952849587	0.701158813833	44
Endocrine and other factor-regulated calcium reabsorption(hsa04961)	7753, 47, 48, 1	3.437	0.280465440337	0.947945164836	48
Aldosterone-regulated sodium reabsorption(hsa04960)	7753, 70, 37, 1	2.993	0.29014952639	0.947945164836	37
Collecting duct acid secretion(hsa04966)	7753, 0, 27, 0	0.0	1.0	1.0	27
One carbon pool by folate(hsa00670)	7753, 0, 20, 0	0.0	1.0	1.0	20
Type II diabetes mellitus(hsa04930)	7753, 0, 46, 0	0.0	1.0	1.0	46
Pantothenate and CoA biosynthesis(hsa00770)	7753, 0, 19, 0	0.0	1.0	1.0	19
Insulin resistance(hsa04931)	7753, 27, 108, 2	5.318	0.123337889642	0.701158813833	108
Notch signaling pathway(hsa04330)	7753, 0, 48, 0	0.0	1.0	1.0	48
Pentose and glucuronate interconversions(hsa00040)	7753, 0, 33, 0	0.0	1.0	1.0	33
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(hsa00532)	7753, 0, 20, 0	0.0	1.0	1.0	20
Biosynthesis of amino acids(hsa01230)	7753, 0, 75, 0	0.0	1.0	1.0	75
Glutathione metabolism(hsa00480)	7753, 0, 56, 0	0.0	1.0	1.0	56
Primary bile acid biosynthesis(hsa00120)	7753, 0, 17, 0	0.0	1.0	1.0	17
TGF-beta signaling pathway(hsa04350)	7753, 0, 89, 0	0.0	1.0	1.0	89
Tyrosine metabolism(hsa00350)	7753, 95, 36, 1	2.267	0.359083174816	1.0	36
Cushing syndrome(hsa04934)	7753, 47, 155, 1	1.064	0.711043525854	1.0	155
Bacterial invasion of epithelial cells(hsa05100)	7753, 78, 74, 2	2.686	0.260941467382	0.947945164836	74
Metabolism of xenobiotics by cytochrome P450(hsa00980)	7753, 0, 74, 0	0.0	1.0	1.0	74
Thyroid cancer(hsa05216)	7753, 26, 37, 1	8.059	0.154939912369	0.802639546041	37
Cell cycle(hsa04110)	7753, 0, 124, 0	0.0	1.0	1.0	124
Drug metabolism - other enzymes(hsa00983)	7753, 0, 79, 0	0.0	1.0	1.0	79
Oocyte meiosis(hsa04114)	7753, 47, 125, 2	2.639	0.314358472845	0.964439586593	125
p53 signaling pathway(hsa04115)	7753, 21, 72, 1	5.128	0.270516273343	0.947945164836	72
Mucin type O-glycan biosynthesis(hsa00512)	7753, 84, 31, 1	2.977	0.287668618141	0.947945164836	31
Gastric cancer(hsa05226)	7753, 26, 149, 1	2.001	0.543689871194	1.0	149
N-Glycan biosynthesis(hsa00510)	7753, 67, 49, 1	2.362	0.356125731839	1.0	49
Other glycan degradation(hsa00511)	7753, 0, 18, 0	0.0	1.0	1.0	18
Inflammatory mediator regulation of TRP channels(hsa04750)	7753, 47, 100, 1	1.65	0.52727656781	1.0	100
RNA transport(hsa03013)	7753, 39, 160, 1	1.242	0.681546835747	1.0	160
Ribosome(hsa03010)	7753, 0, 134, 0	0.0	1.0	1.0	134
Chronic myeloid leukemia(hsa05220)	7753, 0, 76, 0	0.0	1.0	1.0	76
Primary immunodeficiency(hsa05340)	7753, 85, 36, 3	7.601	0.0161476059835	0.154625560326	36
Propanoate metabolism(hsa00640)	7753, 34, 32, 1	7.126	0.154177349225	0.802639546041	32
Hematopoietic cell lineage(hsa04640)	7753, 35, 95, 4	9.327	0.00272506484682	0.0309813686755	95
RNA degradation(hsa03018)	7753, 0, 79, 0	0.0	1.0	1.0	79
Regulation of actin cytoskeleton(hsa04810)	7753, 0, 214, 0	0.0	1.0	1.0	214
mRNA surveillance pathway(hsa03015)	7753, 0, 91, 0	0.0	1.0	1.0	91
Nicotinate and nicotinamide metabolism(hsa00760)	7753, 0, 30, 0	0.0	1.0	1.0	30
Insulin secretion(hsa04911)	7753, 47, 86, 1	1.918	0.467994741114	1.0	86
Selenocompound metabolism(hsa00450)	7753, 0, 17, 0	0.0	1.0	1.0	17
Arginine and proline metabolism(hsa00330)	7753, 95, 49, 1	1.666	0.454477490458	1.0	49
Maturity onset diabetes of the young(hsa04950)	7753, 0, 26, 0	0.0	1.0	1.0	26
alpha-Linolenic acid metabolism(hsa00592)	7753, 51, 24, 1	6.334	0.153625835516	0.802639546041	24
Arachidonic acid metabolism(hsa00590)	7753, 51, 62, 1	2.452	0.369111398486	1.0	62
Linoleic acid metabolism(hsa00591)	7753, 51, 28, 1	5.429	0.178112866327	0.879432277489	28
Asthma(hsa05310)	7753, 35, 29, 4	30.554	2.12000613925e-05	0.000478515671431	29
Morphine addiction(hsa05032)	7753, 47, 91, 1	1.813	0.489780338659	1.0	91
Nicotine addiction(hsa05033)	7753, 0, 40, 0	0.0	1.0	1.0	40
Cocaine addiction(hsa05030)	7753, 95, 49, 2	3.331	0.191035279871	0.901002215511	49
Amphetamine addiction(hsa05031)	7753, 95, 68, 2	2.4	0.299012704241	0.954424389294	68
Ascorbate and aldarate metabolism(hsa00053)	7753, 0, 27, 0	0.0	1.0	1.0	27
Galactose metabolism(hsa00052)	7753, 67, 31, 1	3.733	0.240561247299	0.947945164836	31
Fructose and mannose metabolism(hsa00051)	7753, 0, 32, 0	0.0	1.0	1.0	32
Mismatch repair(hsa03430)	7753, 0, 23, 0	0.0	1.0	1.0	23
Vascular smooth muscle contraction(hsa04270)	7753, 63, 132, 3	2.797	0.200736300252	0.910034852173	132
Peroxisome(hsa04146)	7753, 33, 83, 1	2.831	0.399771463403	1.0	83
Taste transduction(hsa04742)	7753, 47, 82, 1	2.012	0.450073753212	1.0	82
Renin-angiotensin system(hsa04614)	7753, 0, 23, 0	0.0	1.0	1.0	23
Melanoma(hsa05218)	7753, 0, 72, 0	0.0	1.0	1.0	72
Bladder cancer(hsa05219)	7753, 0, 41, 0	0.0	1.0	1.0	41
Platelet activation(hsa04611)	7753, 47, 124, 1	1.33	0.616710298761	1.0	124
Complement and coagulation cascades(hsa04610)	7753, 38, 79, 1	2.583	0.401105130701	1.0	79
Small cell lung cancer(hsa05222)	7753, 26, 93, 1	3.206	0.384177734199	1.0	93
Antigen processing and presentation(hsa04612)	7753, 82, 72, 12	15.758	4.40939262654e-11	6.96684034994e-09	72
Pancreatic cancer(hsa05212)	7753, 0, 75, 0	0.0	1.0	1.0	75
Endometrial cancer(hsa05213)	7753, 0, 58, 0	0.0	1.0	1.0	58
Colorectal cancer(hsa05210)	7753, 21, 86, 1	4.293	0.312970973054	0.964439586593	86
Renal cell carcinoma(hsa05211)	7753, 0, 69, 0	0.0	1.0	1.0	69
Folate biosynthesis(hsa00790)	7753, 0, 26, 0	0.0	1.0	1.0	26
Basal cell carcinoma(hsa05217)	7753, 0, 63, 0	0.0	1.0	1.0	63
Glioma(hsa05214)	7753, 0, 75, 0	0.0	1.0	1.0	75
Prostate cancer(hsa05215)	7753, 0, 97, 0	0.0	1.0	1.0	97
Cell adhesion molecules (CAMs)(hsa04514)	7753, 50, 143, 7	7.59	0.000153807852912	0.00285901656002	143
Phototransduction(hsa04744)	7753, 94, 28, 1	2.946	0.289762658603	0.947945164836	28
Pathogenic Escherichia coli infection(hsa05130)	7753, 0, 55, 0	0.0	1.0	1.0	55
Starch and sucrose metabolism(hsa00500)	7753, 0, 36, 0	0.0	1.0	1.0	36
FoxO signaling pathway(hsa04068)	7753, 70, 131, 2	1.691	0.471160435016	1.0	131
Olfactory transduction(hsa04740)	7753, 52, 444, 2	0.672	0.932188465578	1.0	444
HIF-1 signaling pathway(hsa04066)	7753, 0, 100, 0	0.0	1.0	1.0	100
Type I diabetes mellitus(hsa04940)	7753, 35, 42, 6	31.645	9.49724830197e-08	5.0018841057e-06	42
NF-kappa B signaling pathway(hsa04064)	7753, 85, 94, 2	1.941	0.390988217469	1.0	94
Chemokine signaling pathway(hsa04062)	7753, 79, 190, 5	2.583	0.118476970078	0.701158813833	190
Butanoate metabolism(hsa00650)	7753, 0, 28, 0	0.0	1.0	1.0	28
Cytokine-cytokine receptor interaction(hsa04060)	7753, 85, 294, 5	1.551	0.451408304492	1.0	294
Histidine metabolism(hsa00340)	7753, 95, 23, 1	3.548	0.247212945408	0.947945164836	23
Other types of O-glycan biosynthesis(hsa00514)	7753, 67, 22, 1	5.26	0.176372288849	0.879432277489	22
EGFR tyrosine kinase inhibitor resistance(hsa01521)	7753, 0, 79, 0	0.0	1.0	1.0	79
Fatty acid elongation(hsa00062)	7753, 0, 30, 0	0.0	1.0	1.0	30
Terpenoid backbone biosynthesis(hsa00900)	7753, 0, 22, 0	0.0	1.0	1.0	22
Fatty acid biosynthesis(hsa00061)	7753, 80, 13, 1	7.455	0.126474849331	0.701158813833	13
Fanconi anemia pathway(hsa03460)	7753, 46, 54, 1	3.121	0.308918607988	0.964439586593	54
Cellular senescence(hsa04218)	7753, 14, 158, 2	7.01	0.0909323498604	0.668247036183	158
Insulin signaling pathway(hsa04910)	7753, 75, 137, 4	3.018	0.111512911568	0.701158813833	137
Prion diseases(hsa05020)	7753, 79, 35, 2	5.608	0.0848164823592	0.653707522573	35
Glycine, serine and threonine metabolism(hsa00260)	7753, 95, 40, 2	4.081	0.140303599549	0.764412714785	40
Apoptosis(hsa04210)	7753, 21, 136, 2	5.429	0.125343498902	0.701158813833	136
Longevity regulating pathway - multiple species(hsa04213)	7753, 66, 62, 3	5.684	0.0345051460005	0.302878503782	62
Apoptosis - multiple species(hsa04215)	7753, 21, 33, 1	11.188	0.121822028864	0.701158813833	33
2-Oxocarboxylic acid metabolism(hsa01210)	7753, 0, 18, 0	0.0	1.0	1.0	18
Ferroptosis(hsa04216)	7753, 0, 40, 0	0.0	1.0	1.0	40
Mannose type O-glycan biosynthesis(hsa00515)	7753, 67, 22, 1	5.26	0.176372288849	0.879432277489	22
VEGF signaling pathway(hsa04370)	7753, 0, 59, 0	0.0	1.0	1.0	59
Apelin signaling pathway(hsa04371)	7753, 59, 137, 3	2.878	0.201589998899	0.910034852173	137
Proteoglycans in cancer(hsa05205)	7753, 78, 201, 3	1.484	0.528968634174	1.0	201
