# Analysis title: koTRAF3_Veh_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_Veh_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Chemokine signaling pathway(mmu04062)	8447, 35, 194, 4	4.976	0.0314589846684	0.181763022528	194
Fatty acid degradation(mmu00071)	8447, 0, 50, 0	0.0	1.0	1.0	50
Hematopoietic cell lineage(mmu04640)	8447, 68, 93, 3	4.007	0.102303962776	0.404035903621	93
Cytokine-cytokine receptor interaction(mmu04060)	8447, 79, 290, 9	3.318	0.00836451575749	0.0686770767457	290
Starch and sucrose metabolism(mmu00500)	8447, 0, 33, 0	0.0	1.0	1.0	33
Linoleic acid metabolism(mmu00591)	8447, 0, 50, 0	0.0	1.0	1.0	50
Apelin signaling pathway(mmu04371)	8447, 53, 138, 1	1.155	0.716699157055	1.0	138
VEGF signaling pathway(mmu04370)	8447, 14, 58, 1	10.403	0.177212647932	0.558784039656	58
Biosynthesis of unsaturated fatty acids(mmu01040)	8447, 0, 32, 0	0.0	1.0	1.0	32
Arachidonic acid metabolism(mmu00590)	8447, 23, 88, 1	4.173	0.360931064862	0.740064288753	88
Neuroactive ligand-receptor interaction(mmu04080)	8447, 8, 348, 1	3.034	0.588978598782	0.972282131323	348
Vascular smooth muscle contraction(mmu04270)	8447, 53, 139, 1	1.147	0.718128250792	1.0	139
Longevity regulating pathway(mmu04211)	8447, 100, 90, 1	0.939	0.68616322294	1.0	90
Metabolism of xenobiotics by cytochrome P450(mmu00980)	8447, 89, 66, 1	1.438	0.537822650885	0.925121823685	66
Intestinal immune network for IgA production(mmu04672)	8447, 119, 41, 2	3.463	0.181161231407	0.558784039656	41
Drug metabolism - cytochrome P450(mmu00982)	8447, 89, 68, 1	1.396	0.549341074771	0.926456299074	68
Drug metabolism - other enzymes(mmu00983)	8447, 89, 87, 1	1.091	0.6468913701	1.0	87
Peroxisome(mmu04146)	8447, 0, 84, 0	0.0	1.0	1.0	84
Metabolic pathways(mmu01100)	8447, 3, 1287, 1	2.188	0.804154540712	1.0	1287
Endometrial cancer(mmu05213)	8447, 98, 58, 1	1.486	0.512623415051	0.903607375683	58
Pancreatic cancer(mmu05212)	8447, 51, 75, 2	4.417	0.159400403795	0.523504484044	75
Renal cell carcinoma(mmu05211)	8447, 85, 68, 3	4.384	0.0784725347853	0.3497632979	68
Oxidative phosphorylation(mmu00190)	8447, 131, 119, 4	2.167	0.251662152878	0.659820098302	119
Taste transduction(mmu04742)	8447, 0, 87, 0	0.0	1.0	1.0	87
Leukocyte transendothelial migration(mmu04670)	8447, 35, 114, 1	2.117	0.54216091421	0.925121823685	114
Olfactory transduction(mmu04740)	8447, 107, 1129, 1	0.07	0.999999982124	1.0	1129
Glioma(mmu05214)	8447, 58, 75, 1	1.942	0.509664205837	0.90349563762	75
DNA replication(mmu03030)	8447, 0, 35, 0	0.0	1.0	1.0	35
Pancreatic secretion(mmu04972)	8447, 0, 105, 0	0.0	1.0	1.0	105
Bladder cancer(mmu05219)	8447, 14, 41, 1	14.716	0.119142970891	0.447862733953	41
Huntington disease(mmu05016)	8447, 18, 181, 1	2.593	0.55533519699	0.926548563961	181
Porphyrin and chlorophyll metabolism(mmu00860)	8447, 0, 41, 0	0.0	1.0	1.0	41
Terpenoid backbone biosynthesis(mmu00900)	8447, 0, 21, 0	0.0	1.0	1.0	21
Cushing syndrome(mmu04934)	8447, 103, 159, 5	2.579	0.138537287405	0.491177655347	159
Endocrine resistance(mmu01522)	8447, 14, 93, 1	6.488	0.276868686632	0.669635893248	93
Insulin resistance(mmu04931)	8447, 100, 108, 2	1.564	0.52184605425	0.914696454641	108
Type II diabetes mellitus(mmu04930)	8447, 100, 48, 2	3.52	0.182882674252	0.558784039656	48
AGE-RAGE signaling pathway in diabetic complications(mmu04933)	8447, 68, 101, 2	2.46	0.351175661445	0.725607989211	101
Non-alcoholic fatty liver disease (NAFLD)(mmu04932)	8447, 68, 145, 7	5.997	0.000731057610576	0.00912359897999	145
Human papillomavirus infection(mmu05165)	8447, 103, 355, 16	3.696	4.25090988754e-05	0.000947345632081	355
Influenza A(mmu05164)	8447, 68, 168, 3	2.218	0.346437095278	0.725607989211	168
Kaposi sarcoma-associated herpesvirus infection(mmu05167)	8447, 95, 213, 13	5.427	5.0659414051e-06	0.000143688519854	213
Human T-cell leukemia virus 1 infection(mmu05166)	8447, 97, 243, 13	4.659	2.73067528846e-05	0.000655362069231	243
Hepatitis B(mmu05161)	8447, 101, 163, 9	4.618	0.000720756901398	0.00912359897999	163
Hepatitis C(mmu05160)	8447, 20, 160, 4	10.559	0.00245398274797	0.0232012914354	160
Human cytomegalovirus infection(mmu05163)	8447, 95, 253, 15	5.272	9.23477085782e-07	2.88124850764e-05	253
Measles(mmu05162)	8447, 115, 135, 3	1.632	0.471316955392	0.870123609955	135
MAPK signaling pathway(mmu04010)	8447, 68, 294, 6	2.535	0.105683134895	0.412164226089	294
Hedgehog signaling pathway(mmu04340)	8447, 77, 44, 1	2.493	0.363616573412	0.740064288753	44
Epstein-Barr virus infection(mmu05169)	8447, 95, 225, 15	5.928	1.97197669945e-07	1.23051346045e-05	225
Herpes simplex virus 1 infection(mmu05168)	8447, 95, 427, 18	3.748	8.19074072319e-06	0.000212959258803	427
Fatty acid biosynthesis(mmu00061)	8447, 0, 14, 0	0.0	1.0	1.0	14
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis(mmu00563)	8447, 0, 25, 0	0.0	1.0	1.0	25
Adrenergic signaling in cardiomyocytes(mmu04261)	8447, 0, 144, 0	0.0	1.0	1.0	144
Sphingolipid signaling pathway(mmu04071)	8447, 68, 121, 4	4.106	0.0576797385961	0.281188725656	121
Phospholipase D signaling pathway(mmu04072)	8447, 100, 148, 4	2.283	0.242121070069	0.647531658595	148
Other types of O-glycan biosynthesis(mmu00514)	8447, 0, 22, 0	0.0	1.0	1.0	22
Mucin type O-glycan biosynthesis(mmu00512)	8447, 0, 28, 0	0.0	1.0	1.0	28
Histidine metabolism(mmu00340)	8447, 0, 24, 0	0.0	1.0	1.0	24
N-Glycan biosynthesis(mmu00510)	8447, 44, 49, 2	7.836	0.0618060021066	0.29217382814	49
Parkinson disease(mmu05012)	8447, 56, 128, 3	3.535	0.146070257003	0.512066518933	128
Carbon metabolism(mmu01200)	8447, 0, 118, 0	0.0	1.0	1.0	118
Selenocompound metabolism(mmu00450)	8447, 0, 17, 0	0.0	1.0	1.0	17
Homologous recombination(mmu03440)	8447, 0, 41, 0	0.0	1.0	1.0	41
Inflammatory mediator regulation of TRP channels(mmu04750)	8447, 14, 126, 1	4.789	0.367660143451	0.740064288753	126
Prion diseases(mmu05020)	8447, 46, 34, 1	5.401	0.218148007003	0.618747074408	34
Cholinergic synapse(mmu04725)	8447, 0, 113, 0	0.0	1.0	1.0	113
Gastric cancer(mmu05226)	8447, 128, 150, 7	3.08	0.0266983770816	0.169997829581	150
ECM-receptor interaction(mmu04512)	8447, 133, 83, 3	2.296	0.268804697861	0.665700472986	83
Breast cancer(mmu05224)	8447, 111, 147, 6	3.106	0.042395675007	0.227782289783	147
Focal adhesion(mmu04510)	8447, 58, 198, 4	2.942	0.154848991415	0.519493390555	198
Small cell lung cancer(mmu05222)	8447, 45, 92, 3	6.121	0.0431892045288	0.227782289783	92
Non-small cell lung cancer(mmu05223)	8447, 128, 66, 1	1.0	0.638614356097	1.0	66
Chronic myeloid leukemia(mmu05220)	8447, 51, 76, 1	2.179	0.497650657946	0.892339110799	76
Cell adhesion molecules (CAMs)(mmu04514)	8447, 95, 165, 9	4.85	0.000510258734877	0.00774366872652	165
Rap1 signaling pathway(mmu04015)	8447, 63, 209, 5	3.208	0.0640711947168	0.298361384353	209
GABAergic synapse(mmu04727)	8447, 14, 90, 1	6.704	0.269006220696	0.665700472986	90
Spliceosome(mmu03040)	8447, 108, 131, 2	1.194	0.652695640945	1.0	131
Long-term potentiation(mmu04720)	8447, 0, 66, 0	0.0	1.0	1.0	66
Glycosphingolipid biosynthesis - ganglio series(mmu00604)	8447, 91, 15, 1	6.188	0.15329450397	0.519493390555	15
Glycosphingolipid biosynthesis - globo and isoglobo series(mmu00603)	8447, 0, 16, 0	0.0	1.0	1.0	16
Glycosphingolipid biosynthesis - lacto and neolacto series(mmu00601)	8447, 0, 26, 0	0.0	1.0	1.0	26
Sphingolipid metabolism(mmu00600)	8447, 0, 48, 0	0.0	1.0	1.0	48
Galactose metabolism(mmu00052)	8447, 0, 32, 0	0.0	1.0	1.0	32
Ascorbate and aldarate metabolism(mmu00053)	8447, 0, 27, 0	0.0	1.0	1.0	27
Fructose and mannose metabolism(mmu00051)	8447, 0, 35, 0	0.0	1.0	1.0	35
T cell receptor signaling pathway(mmu04660)	8447, 119, 101, 3	2.108	0.316434490219	0.700195467719	101
Cardiac muscle contraction(mmu04260)	8447, 0, 74, 0	0.0	1.0	1.0	74
Type I diabetes mellitus(mmu04940)	8447, 100, 67, 12	15.129	7.91966313974e-11	2.4709348996e-08	67
Basal transcription factors(mmu03022)	8447, 96, 43, 1	2.046	0.403815305808	0.792392298189	43
Amino sugar and nucleotide sugar metabolism(mmu00520)	8447, 82, 49, 1	2.102	0.411424745535	0.797295159049	49
Retrograde endocannabinoid signaling(mmu04723)	8447, 56, 141, 1	1.07	0.737492292241	1.0	141
Aminoacyl-tRNA biosynthesis(mmu00970)	8447, 104, 44, 2	3.692	0.168233240484	0.546758031572	44
TGF-beta signaling pathway(mmu04350)	8447, 68, 90, 2	2.76	0.300320883786	0.678986345951	90
Axon guidance(mmu04360)	8447, 14, 180, 1	3.352	0.48660857577	0.887847225967	180
IL-17 signaling pathway(mmu04657)	8447, 68, 91, 3	4.095	0.0986368133451	0.399671243684	91
Apoptosis - multiple species(mmu04215)	8447, 45, 32, 3	17.598	0.00170397441843	0.0183324144327	32
Ferroptosis(mmu04216)	8447, 121, 40, 1	1.745	0.441990069384	0.829473225765	40
Necroptosis(mmu04217)	8447, 78, 175, 8	4.951	0.00100734672727	0.0112247206753	175
Apoptosis(mmu04210)	8447, 68, 136, 7	6.394	0.000521208471977	0.00774366872652	136
RNA polymerase(mmu03020)	8447, 0, 28, 0	0.0	1.0	1.0	28
Longevity regulating pathway - multiple species(mmu04213)	8447, 100, 62, 1	1.362	0.5426195312	0.925121823685	62
FoxO signaling pathway(mmu04068)	8447, 100, 132, 2	1.28	0.62945471304	1.0	132
Cellular senescence(mmu04218)	8447, 95, 181, 10	4.912	0.000188244484485	0.00367076744745	181
Fatty acid metabolism(mmu01212)	8447, 3, 57, 1	49.398	0.0550474557256	0.277013003006	57
alpha-Linolenic acid metabolism(mmu00592)	8447, 0, 25, 0	0.0	1.0	1.0	25
2-Oxocarboxylic acid metabolism(mmu01210)	8447, 0, 19, 0	0.0	1.0	1.0	19
Glutamatergic synapse(mmu04724)	8447, 0, 114, 0	0.0	1.0	1.0	114
Central carbon metabolism in cancer(mmu05230)	8447, 0, 64, 0	0.0	1.0	1.0	64
Serotonergic synapse(mmu04726)	8447, 0, 132, 0	0.0	1.0	1.0	132
Non-homologous end-joining(mmu03450)	8447, 0, 13, 0	0.0	1.0	1.0	13
Nicotine addiction(mmu05033)	8447, 0, 40, 0	0.0	1.0	1.0	40
Synaptic vesicle cycle(mmu04721)	8447, 60, 77, 1	1.828	0.525703370617	0.916309785657	77
Neurotrophin signaling pathway(mmu04722)	8447, 50, 121, 3	4.189	0.10200289393	0.404035903621	121
Cocaine addiction(mmu05030)	8447, 0, 48, 0	0.0	1.0	1.0	48
Allograft rejection(mmu05330)	8447, 119, 60, 11	13.014	3.05176201453e-09	4.76074874266e-07	60
Graft-versus-host disease(mmu05332)	8447, 95, 62, 10	14.341	7.09321984233e-09	7.37694863602e-07	62
Dopaminergic synapse(mmu04728)	8447, 0, 131, 0	0.0	1.0	1.0	131
Propanoate metabolism(mmu00640)	8447, 127, 30, 1	2.217	0.366644582373	0.740064288753	30
Adherens junction(mmu04520)	8447, 14, 72, 1	8.38	0.222684553659	0.620335542335	72
Glyoxylate and dicarboxylate metabolism(mmu00630)	8447, 0, 30, 0	0.0	1.0	1.0	30
Proteasome(mmu03050)	8447, 36, 46, 1	5.101	0.270974230991	0.665700472986	46
Regulation of actin cytoskeleton(mmu04810)	8447, 142, 216, 8	2.203	0.10863871008	0.418460216605	216
Tryptophan metabolism(mmu00380)	8447, 61, 46, 1	3.01	0.337238169349	0.720673348199	46
Mismatch repair(mmu03430)	8447, 0, 22, 0	0.0	1.0	1.0	22
Thiamine metabolism(mmu00730)	8447, 0, 15, 0	0.0	1.0	1.0	15
Mannose type O-glycan biosynthesis(mmu00515)	8447, 69, 22, 1	5.565	0.178530279344	0.558784039656	22
Pentose and glucuronate interconversions(mmu00040)	8447, 0, 33, 0	0.0	1.0	1.0	33
Insulin signaling pathway(mmu04910)	8447, 100, 138, 1	0.612	0.839515207206	1.0	138
Glycosaminoglycan biosynthesis - heparan sulfate / heparin(mmu00534)	8447, 0, 24, 0	0.0	1.0	1.0	24
p53 signaling pathway(mmu04115)	8447, 19, 71, 3	18.785	0.00190552608183	0.0191781979848	71
Oocyte meiosis(mmu04114)	8447, 101, 115, 3	2.182	0.315385857621	0.700195467719	115
Glycosaminoglycan degradation(mmu00531)	8447, 0, 21, 0	0.0	1.0	1.0	21
Glycosaminoglycan biosynthesis - keratan sulfate(mmu00533)	8447, 0, 14, 0	0.0	1.0	1.0	14
Cell cycle(mmu04110)	8447, 10, 123, 2	13.735	0.0282300228886	0.17441389216	123
Complement and coagulation cascades(mmu04610)	8447, 122, 88, 2	1.574	0.495883415	0.892339110799	88
Platelet activation(mmu04611)	8447, 53, 123, 2	2.592	0.351121514438	0.725607989211	123
Antigen processing and presentation(mmu04612)	8447, 95, 88, 10	10.104	2.39352406839e-07	1.24463251556e-05	88
Bacterial invasion of epithelial cells(mmu05100)	8447, 35, 74, 3	9.784	0.0104933567147	0.0781018678158	74
Taurine and hypotaurine metabolism(mmu00430)	8447, 0, 11, 0	0.0	1.0	1.0	11
Nucleotide excision repair(mmu03420)	8447, 0, 43, 0	0.0	1.0	1.0	43
Primary bile acid biosynthesis(mmu00120)	8447, 0, 16, 0	0.0	1.0	1.0	16
PPAR signaling pathway(mmu03320)	8447, 37, 85, 1	2.686	0.443980861227	0.829473225765	85
Primary immunodeficiency(mmu05340)	8447, 0, 35, 0	0.0	1.0	1.0	35
Purine metabolism(mmu00230)	8447, 81, 134, 1	0.778	0.799067329643	1.0	134
Tight junction(mmu04530)	8447, 33, 167, 2	3.066	0.320792247309	0.702596895212	167
Fanconi anemia pathway(mmu03460)	8447, 130, 51, 1	1.274	0.54892574104	0.926456299074	51
Long-term depression(mmu04730)	8447, 53, 60, 1	2.656	0.4080308539	0.795660165105	60
Rheumatoid arthritis(mmu05323)	8447, 116, 83, 7	6.141	0.000600724063551	0.00837343929746	83
Systemic lupus erythematosus(mmu05322)	8447, 86, 140, 3	2.105	0.349963701584	0.725607989211	140
Inflammatory bowel disease (IBD)(mmu05321)	8447, 119, 59, 5	6.016	0.00440184445039	0.0392392991006	59
Autoimmune thyroid disease(mmu05320)	8447, 119, 75, 10	9.464	4.18183461857e-07	1.63091550124e-05	75
Glycine, serine and threonine metabolism(mmu00260)	8447, 0, 40, 0	0.0	1.0	1.0	40
Pyruvate metabolism(mmu00620)	8447, 134, 38, 1	1.659	0.45649362451	0.84777387409	38
Toxoplasmosis(mmu05145)	8447, 92, 108, 5	4.251	0.0201750822876	0.139880570527	108
Retinol metabolism(mmu00830)	8447, 0, 91, 0	0.0	1.0	1.0	91
Endocrine and other factor-regulated calcium reabsorption(mmu04961)	8447, 0, 55, 0	0.0	1.0	1.0	55
Other glycan degradation(mmu00511)	8447, 0, 18, 0	0.0	1.0	1.0	18
Hypertrophic cardiomyopathy (HCM)(mmu05410)	8447, 68, 86, 2	2.889	0.286068536707	0.67017022574	86
Ubiquitin mediated proteolysis(mmu04120)	8447, 90, 138, 5	3.401	0.0461003848828	0.235792132515	138
Alcoholism(mmu05034)	8447, 86, 197, 1	0.499	0.920690586554	1.0	197
Collecting duct acid secretion(mmu04966)	8447, 60, 27, 1	5.214	0.199191899323	0.591884500847	27
Ubiquinone and other terpenoid-quinone biosynthesis(mmu00130)	8447, 125, 11, 1	6.143	0.151541651575	0.519493390555	11
Proximal tubule bicarbonate reclamation(mmu04964)	8447, 126, 22, 1	3.047	0.282467624688	0.67017022574	22
Signaling pathways regulating pluripotency of stem cells(mmu04550)	8447, 103, 137, 5	2.993	0.0821303766667	0.355898298889	137
Vasopressin-regulated water reabsorption(mmu04962)	8447, 49, 43, 1	4.009	0.286642373107	0.67017022574	43
Carbohydrate digestion and absorption(mmu04973)	8447, 28, 43, 1	7.016	0.210224613427	0.607315549899	43
Aldosterone-regulated sodium reabsorption(mmu04960)	8447, 10, 38, 1	22.229	0.0864181286801	0.359499415309	38
Arginine and proline metabolism(mmu00330)	8447, 76, 50, 1	2.223	0.402852665523	0.792392298189	50
Pentose phosphate pathway(mmu00030)	8447, 0, 32, 0	0.0	1.0	1.0	32
Arginine biosynthesis(mmu00220)	8447, 0, 19, 0	0.0	1.0	1.0	19
Legionellosis(mmu05134)	8447, 92, 58, 4	6.332	0.010058838464	0.0781018678158	58
Salmonella infection(mmu05132)	8447, 116, 78, 1	0.934	0.670445211326	1.0	78
Biosynthesis of amino acids(mmu01230)	8447, 0, 77, 0	0.0	1.0	1.0	77
Notch signaling pathway(mmu04330)	8447, 64, 49, 2	5.387	0.113484219852	0.431793616998	49
Choline metabolism in cancer(mmu05231)	8447, 58, 99, 1	1.471	0.625695947162	1.0	99
Pertussis(mmu05133)	8447, 68, 76, 2	3.269	0.23974573637	0.647531658595	76
ErbB signaling pathway(mmu04012)	8447, 14, 84, 1	7.183	0.25402384847	0.660462006021	84
Hepatocellular carcinoma(mmu05225)	8447, 103, 171, 6	2.878	0.0566378440976	0.280492180293	171
Gap junction(mmu04540)	8447, 14, 86, 2	14.032	0.0240638098358	0.156414763933	86
RNA degradation(mmu03018)	8447, 120, 81, 1	0.869	0.694392281409	1.0	81
Asthma(mmu05310)	8447, 119, 24, 2	5.915	0.0756636540245	0.342131305154	24
Th1 and Th2 cell differentiation(mmu04658)	8447, 17, 87, 2	11.423	0.0422937431587	0.227782289783	87
Protein export(mmu03060)	8447, 0, 27, 0	0.0	1.0	1.0	27
Acute myeloid leukemia(mmu05221)	8447, 0, 69, 0	0.0	1.0	1.0	69
Th17 cell differentiation(mmu04659)	8447, 51, 102, 3	4.871	0.0664794028757	0.305023142606	102
Butanoate metabolism(mmu00650)	8447, 0, 26, 0	0.0	1.0	1.0	26
Salivary secretion(mmu04970)	8447, 0, 78, 0	0.0	1.0	1.0	78
Morphine addiction(mmu05032)	8447, 0, 92, 0	0.0	1.0	1.0	92
Autophagy - other(mmu04136)	8447, 0, 32, 0	0.0	1.0	1.0	32
Fat digestion and absorption(mmu04975)	8447, 20, 40, 1	10.559	0.15116509278	0.519493390555	40
Insulin secretion(mmu04911)	8447, 100, 86, 1	0.982	0.668574074478	1.0	86
Vitamin digestion and absorption(mmu04977)	8447, 20, 23, 1	18.363	0.0910214085657	0.373666835164	23
Bile secretion(mmu04976)	8447, 126, 72, 4	3.724	0.0602755837827	0.289322802157	72
Cholesterol metabolism(mmu04979)	8447, 20, 49, 1	8.619	0.184172679713	0.558784039656	49
Phosphatidylinositol signaling system(mmu04070)	8447, 88, 98, 1	0.979	0.692154765088	1.0	98
beta-Alanine metabolism(mmu00410)	8447, 0, 32, 0	0.0	1.0	1.0	32
Gastric acid secretion(mmu04971)	8447, 0, 74, 0	0.0	1.0	1.0	74
Steroid hormone biosynthesis(mmu00140)	8447, 114, 88, 1	0.842	0.710588668137	1.0	88
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(mmu00532)	8447, 0, 20, 0	0.0	1.0	1.0	20
Folate biosynthesis(mmu00790)	8447, 0, 26, 0	0.0	1.0	1.0	26
Citrate cycle (TCA cycle)(mmu00020)	8447, 0, 32, 0	0.0	1.0	1.0	32
Alanine, aspartate and glutamate metabolism(mmu00250)	8447, 0, 36, 0	0.0	1.0	1.0	36
Dilated cardiomyopathy (DCM)(mmu05414)	8447, 68, 89, 2	2.791	0.297461792419	0.678986345951	89
JAK-STAT signaling pathway(mmu04630)	8447, 74, 164, 4	2.784	0.158376166258	0.523504484044	164
Viral myocarditis(mmu05416)	8447, 95, 84, 10	10.585	1.60827995878e-07	1.23051346045e-05	84
EGFR tyrosine kinase inhibitor resistance(mmu01521)	8447, 58, 79, 2	3.687	0.206771328479	0.602922004536	79
Fluid shear stress and atherosclerosis(mmu05418)	8447, 89, 143, 8	5.31	0.000617272768723	0.00837343929746	143
Antifolate resistance(mmu01523)	8447, 68, 30, 1	4.141	0.238598998227	0.647531658595	30
Base excision repair(mmu03410)	8447, 139, 33, 1	1.842	0.42229416756	0.813307285671	33
Platinum drug resistance(mmu01524)	8447, 45, 77, 3	7.313	0.0212902443515	0.144403396471	77
Amphetamine addiction(mmu05031)	8447, 0, 67, 0	0.0	1.0	1.0	67
Alzheimer disease(mmu05010)	8447, 68, 166, 6	4.49	0.00902290184337	0.072183214747	166
Maturity onset diabetes of the young(mmu04950)	8447, 100, 27, 1	3.129	0.28141195339	0.67017022574	27
Protein digestion and absorption(mmu04974)	8447, 0, 90, 0	0.0	1.0	1.0	90
Natural killer cell mediated cytotoxicity(mmu04650)	8447, 68, 115, 4	4.321	0.04035100179	0.224812724258	115
Mitophagy - animal(mmu04137)	8447, 115, 63, 4	4.664	0.030129781439	0.17736776998	63
Ribosome biogenesis in eukaryotes(mmu03008)	8447, 138, 85, 7	5.041	0.00184926130514	0.0191781979848	85
HIF-1 signaling pathway(mmu04066)	8447, 100, 103, 2	1.64	0.496720173559	0.892339110799	103
Melanoma(mmu05218)	8447, 142, 72, 3	2.479	0.232212161038	0.641152161449	72
Glutathione metabolism(mmu00480)	8447, 89, 64, 2	2.966	0.244899793956	0.647531658595	64
Hippo signaling pathway(mmu04390)	8447, 103, 153, 7	3.752	0.0105137129752	0.0781018678158	153
Hippo signaling pathway - multiple species(mmu04392)	8447, 0, 26, 0	0.0	1.0	1.0	26
Nicotinate and nicotinamide metabolism(mmu00760)	8447, 0, 35, 0	0.0	1.0	1.0	35
Fatty acid elongation(mmu00062)	8447, 3, 32, 1	87.99	0.0285099631415	0.17441389216	32
Ras signaling pathway(mmu04014)	8447, 112, 233, 6	1.942	0.256356641231	0.66101877739	233
Nitrogen metabolism(mmu00910)	8447, 0, 17, 0	0.0	1.0	1.0	17
Lysine degradation(mmu00310)	8447, 0, 58, 0	0.0	1.0	1.0	58
NOD-like receptor signaling pathway(mmu04621)	8447, 68, 201, 4	2.472	0.222112691558	0.620335542335	201
Toll-like receptor signaling pathway(mmu04620)	8447, 116, 99, 3	2.207	0.295005753616	0.678986345951	99
Cytosolic DNA-sensing pathway(mmu04623)	8447, 0, 61, 0	0.0	1.0	1.0	61
RIG-I-like receptor signaling pathway(mmu04622)	8447, 68, 68, 2	3.654	0.206027492533	0.602922004536	68
Staphylococcus aureus infection(mmu05150)	8447, 0, 90, 0	0.0	1.0	1.0	90
cGMP-PKG signaling pathway(mmu04022)	8447, 100, 171, 2	0.988	0.764612469174	1.0	171
Tuberculosis(mmu05152)	8447, 68, 177, 7	4.913	0.00281580370221	0.0258391398556	177
Calcium signaling pathway(mmu04020)	8447, 0, 188, 0	0.0	1.0	1.0	188
Autophagy - animal(mmu04140)	8447, 100, 129, 2	1.31	0.618421085625	1.0	129
Wnt signaling pathway(mmu04310)	8447, 115, 160, 5	2.295	0.184470372066	0.558784039656	160
Lysosome(mmu04142)	8447, 3, 124, 1	22.707	0.127960408605	0.464228459124	124
Endocytosis(mmu04144)	8447, 95, 267, 12	3.996	0.000285671921513	0.00524291997129	267
Phagosome(mmu04145)	8447, 95, 176, 13	6.568	5.05921503459e-07	1.75386121199e-05	176
Glycolysis / Gluconeogenesis(mmu00010)	8447, 0, 66, 0	0.0	1.0	1.0	66
Pyrimidine metabolism(mmu00240)	8447, 0, 57, 0	0.0	1.0	1.0	57
Malaria(mmu05144)	8447, 92, 49, 4	7.495	0.0053204918646	0.0448646881555	49
Renin-angiotensin system(mmu04614)	8447, 0, 36, 0	0.0	1.0	1.0	36
Glycerophospholipid metabolism(mmu00564)	8447, 99, 97, 1	0.88	0.712648259606	1.0	97
Ether lipid metabolism(mmu00565)	8447, 0, 47, 0	0.0	1.0	1.0	47
Inositol phosphate metabolism(mmu00562)	8447, 88, 73, 1	1.315	0.574521285492	0.953460856773	73
Phototransduction(mmu04744)	8447, 0, 27, 0	0.0	1.0	1.0	27
Glycerolipid metabolism(mmu00561)	8447, 99, 61, 1	1.399	0.53393098122	0.925121823685	61
Valine, leucine and isoleucine degradation(mmu00280)	8447, 127, 53, 1	1.255	0.555108765346	0.926548563961	53
